,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus
137855,https://www.sandalgroup.co.uk/bmw/new-car-offers/4154336-wf-stock-bmw-m135/,suspension anti roll bar front and rear drive performance control twin tube gas filled shock absorbers with degressive characteristic curve body,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101263,http://cdn.exploroz.com/tracklogs/embed?r=11344,loop danggali cp loop renmark - danggali conservation parktracking brisbanetracking mid north coastwagga wagga returngreenthorpesussex inletrwood to coomaravenswood to coomacanberrachilterninnaminka may,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
720002,http://www.koreaherald.com/view.php?ud=20140810000029,s military chief’s seoul bmw launches plug-in hybrid s korea's bae doona wins be suspended swimmer park tae-h top companies reduce,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1288428,https://tacticaltraining.edu.au/training-courses-adelaide/training-courses-calendar/eventsbyday/2019/8/31/40,provide advanced resuscitation fire safety fire extinguisher and portable equipment fire warden - emergency warden chief warden conflict management conflict resolution,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1294813,http://www.churchinneed.org/site/News2?page=NewsArticle&id=7307,allowed to follow jesus today many of them are old sick and in need of medical care they need help but,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
472696,http://www.socialexplorer.com/data/Census1830/documentation/fd0b776e-5bd5-4fd6-8e47-93cb939f3a05,of census records were destroyed as a result of a fire in january the smoke water and other damage to the,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
906010,http://www.artoftea.com/tea/artisan-tea-tins/l/kosher/sleepy.html,tea blog about us story experience relationship sustainability program customized tea formulation fair trade program press subscription tea wizard wholesale home,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
163039,http://www.bluffcountrynews.com/Content/Default/Rushford-area-news/-3/556?SectionID=7&SubSectionID=203&TM=55126.15,name has not been released as of tuesday afternoon the fire has been ruled suspicious photo by kayla thompson absent councilor,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
666151,http://www.northjersey.com/news/international/189238861_Mormon_church_to_expand_Mexico_training_center.html,old suspended for kissing a girl person dies in bloomfield fire latest tweets from northjerseybrk tweets by northjerseybrk follow northjerseybrk on,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1341856,http://www.fancy.com/ppruiz,slide to unlock magnet theheartdirector fancy it timberland gt scramble mid boot leavlzi fancy it mykonos visus watch leavlzi fancy it,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
135328,http://theamericanscene.com/2008/07/07/2015/10/28/archive/archive/index.html%3Fauthor=Cameron+Abadi.html,whole was so focused on the last six years of tea party versus establishment fights that it couldn’t recognize that the,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
311602,https://limitedvoices.com/best-sushi-spots-in-the-twin-cities/,of all you need to know about sushi in the twin cities the twin cities encompassing minneapolis and st paul offer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145556,https://ajurialawyers.com/karen-justice-2/,law linkedin instagram close menu home about about sustainability and giving back pro bono insights services services employers global services national,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1162103,https://hdcolumbia.com/Motorcycles-Harley-Davidson-Ultra-Limited-Low-2017-Columbia-TN-07734fce-4fbe-4d10-80c0-a6750109a45d,has been re-engineered with a lowered front and rear suspension giving it the lowest seat height in touring just inches off,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
158232,https://www.kut.org/transportation/2011-02-02/cold-weather-could-slow-afternoon-traffic,member business circle car donation leadership circle member login planned giving program sponsorships sustaining members thank you gifts volunteer become a,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1325298,http://kfdm.com/shared/news/top-stories/stories/kfdm_christmas-tree-fire-danger-3026.shtml?wap=0,bisd superintendent and board president in austin to meet with tea commissioner suspension lifted lumberton transgender sub teacher told to wait,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171795,http://www.kvewtv.com/article/2013/may/16/obamas-doe-pick-green-lighted/,easter sunday bomb kills injuries in pakistan early morning house fire in kennewick car chase ends in kennewick suspect fled scene,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
456221,https://forums.graalonline.com/forums/member.php?s=0d03ce1507ae96fe61937c026cbf7631&u=58,crypticmyst darlene is a fuggin bltch jesusfreak kabouter scriptless sp lit unkownsoldier this page has had visits all times are gmt,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
759018,http://matchboxarchive.info/descargar-juegos-para/arcade-descargar-juegos-para-pc.html,burrito pepe online games fighting games juegos de sonic y sus personajes fisher price online games for year olds play games,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1229376,https://www.musicme.com/Kelis/titres/Home-t2984.html,mafia in public blindfold me finest dreams candy game show fire suspended trilogy weekend living proof appreciate me i don't think,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
161560,https://login.middlebury.edu/cas/login?service=http%3A%2F%2Fwww.middlebury.edu%2Fcas%3Fdestination%3Dmm%2F140071%2Fnode%2F429502,academics student life athletics arts middlebury international about middlebury sustainability giving news room calendar of events offices services webmail bannerweb portal,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
149467,http://www.moqub.com/tag/congres/,of liber april a m a m session sustainability chair karen latimer queens university belfast the role of the building envelope,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1369381,http://www.ferronnerie-steichen.lu/bonjour-tout-le-monde/?replytocom=3201,viagra and us online pharmacy donde comprar viagra madrid viagra sus consecuencias adidas pure boost at r pondre i wanted to,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
524510,https://www.fstcoldchain.com/China-First-Cold-Chain-IQF-Tunnel-Freezer-FSW400-Type-with-Freon-Refrigerations-System-for-All-Kinds-of-Frozen-Food-pd43869069.html,performance the internal parts are made of high-quality stainless steel sus which is easy to clean and fully meets haccp requirements,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
80976,https://web.musc.edu/about/global-health/international-student-and-scholar-services/f1-students/new-f1-students,facilities sustainability climate energy and water food transportation waste diversion giving leadership board of trustees biographies meeting schedules meeting agendas archived,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
192107,http://www.metalstorm.net/bands/album.php?album_id=38057&page=&message_id=,me since i never suspected it to be this great tea m ster - at rating ok now don't kill me,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6955,http://www.byond.com/forum/?post=7403,pm shadow jesus coming back and lighting everybody on fire lol - jan pm elation why does shades keep calling knifo,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
233041,http://oll.libertyfund.org/title/2460/244054,discovered the benefit of fresh cool air applied to the sick people will begin to suspect that possibly it may do,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
213635,http://tpzoo.wordpress.com/tag/guest-blogging/,nutritious in its natural state then when ug learned about fire it was discovered eggs could be cooked i suspect one,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1293590,http://woub.org/2013/05/13/suspect-named-fire-truck-theft/,suspect named in fire truck theft - woub digital gridiron glory nelsonville music festival,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
892046,https://www.giiresearch.com/report/luci1749091-degradable-implant-market-report-trends-forecast.html,regulatory bodies the market has the potential for sustained growth giving improved choices to patients and healthcare practitioners strategic growth opportunities,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1316637,http://kiwi.cs.dal.ca/GenGIS/index.php?title=Description_of_GenGIS_plugins&diff=2242&oldid=2018,within this table causes a linear regression scatter plot of alpha diversity versus the selected field to be generated the viewport,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1019035,https://mulchmedia.com/blog/?tag=/Home-Decor,december five more done i suspect i will be pretty sick of making these when they're all done reminder etsy has,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
384100,http://www.ditl.org/pagotherbooks-list.php?Filter=1970,rick sternbach illustrator stan goldstein star trek speaks fred goldstein stan goldstein susan sackett - star trek star charts the complete,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
528213,http://will.illinois.edu/news/spotstory/bloomington-edge-signs-illini-40-something/P6160,support volunteer ways to give general membership sustained giving leadership giving wills and estates contribute now be a sustainer make a,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1370045,https://careers.upmc.com/jobs/4937860-security-officer-sus,security officer sus in muncy pa - upmc toggle navigation login career pathways,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
616589,https://www.ascls-pa.org/student-review.html,corporate award recipients keener award recipients omicron sigma recipients pi alpha recipients sustained membership fillable forms for awards in word mt,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
467421,http://www.justinholman.com/tag/partisan/,crisis instead of traveling to swing states raising money and giving stump speeches or preparing for debates i suspect his job,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
79948,https://cityonahill.com.au/melbourne-east/thanks,skip to main content movement jesus visit teaching church planting alpha many rooms story leaders join serve give churches melbourne melbourne,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1284443,https://www.pentictonwesternnews.com/news/late-night-fire-in-okanagan-falls/,or make a statement criminality not suspected in ellison trailer fire death the body was discovered after crews responded to reports,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
