,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll
1194621,http://www.watchblog.com/republicans/archives/003334.html,of in congress that are honest fiscally responsible don’t pander troll for campaign money fuel partisan warfare and look the other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1015012,https://raytrollstickers.com/product/dies-for-love-magnet-12-pack-2/,our control we will no longer be making the ray troll stickers and magnets and no further orders will be shipped,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
536624,https://www.forbes.com/2007/06/08/small-business-eeoc-ent-hr-cs_bn_0608discrimination_slide_2.html,a troll is helping to pick your next government internet troll charles chuck johnson is helping to pick members of the,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1245128,https://www.servicemastersavannah.com/how-to-prevent-a-grease-fire/,fire extinguisher get out of the house and call the fire department if the fire becomes uncontrollable after firefighting efforts are,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1117046,http://n4g.com/user/blogpost/-gametimeuk-/521197,a favour and leave because i will not feed any troll and don't want this blog to be a place to,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1242546,http://atlanta.sbnation.com/georgia-bulldogs/2011/12/13/2634833/gus-malzahn-to-coach-auburns-bowl-before-leaving-for-arkansas-state,editable message data comment rawbody data comment body reason spam troll inappropriate notes your flag will not be visible to anyone,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1179965,https://dof.virginia.gov/?taxonomy=primary_location&term=danville-city,response to wildfires the agency also uses prescribed or controlled fire as a management tool to benefit virginia ecosystems learn wildfire,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
630324,http://www.strollerdepot.com/items/phil-and-teds-cushy-ride-for-main-seat/,ride liner main seats strollers depot free shipping on jogging twin double strollers and more home brands categories resources about us,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1346614,http://noiri.blogspot.com/2008_01_01_archive.html,came up a winner when his company signed preliminary agreements giving it the right to buy into three uranium projects controlled,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
879729,https://hollybrockwell.com/2013/04/25/an-open-letter-to-innocean-and-hyundai/,the minute you typed hundai similar to some of the troll posts above i am sorry for your lose now gtfo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
543056,http://kewe.info/weplanet/circus/2011/circus_february_2_2011.html,harrit fascinating thanks for coming in niels harrit my pleasure twin towers controlled demolition pt thermite nano thermite click here twin,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
206366,http://www.amazon.com/gp/search/other?page=1&pickerToList=enc-merchantbin&rh=n%3A172421%2Cp_6%3AATVPDKIKX0DER,musickindle booksnewsstandaudible audiobooksmanage your content and devices watch and playamazon fire tvstreaming p media player with voice searchamazon fire game controllerdedicated,,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
200310,http://www.shacknews.com/article/48009/rainbow-six-vegas-105-patch,the xbox controller fixed a bug that would always show alpha team highlighted in mission results even if you were on,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
881983,https://talonspoint.wordpress.com/2015/10/18/talons-point-of-the-day-oct-18th-2015-bury-your-gods/,have become a nation of witchcraft day ago follow talonspointtalon’s troll policy this policy is so simple even cavemen and trolls,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310865,http://www.wc3c.net/showthread.php?p=1085356&fromattachment=1085356,time now is pm -- night elf -- tauren -- troll -- pandaren -- underworld -- blood elf -- northrend --,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1018685,https://www.diamonds4ever.dk/big_world-p-62874.html,in your shopping cart is empty trollbeads peoples uniques sunshine vibes trollbeadsday stone trollbeads campaign nordic twilight limited editions standard silver,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
482649,https://www.eff.org/issues/patents,personal audio llc podcasting is under threat from a patent troll known as personal audio llc so far personal audio has,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
256925,https://aicpendblog.com/tag/the-real-recipient-of-russian-largesse-democratic-party/,the nation has ever seen what with a liar a troll a drug-lover and a save the world’ environmental loser by,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
591373,http://www.g4tv.com/thefeed/blog/post/718449/elder-scrolls-5-skyrim-how-to-kill-a-troll/,playstation videogames xbox elder scrolls skyrim how to kill a troll http www g tv com thefeed blog post elder-scrolls- -skyrim-how-to-kill-a-troll,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238844,http://www.cheboygannews.com/section?template=videos&ndn_sect=sports&vid=24630187&title=La%20Salle%20shoots%20lights%20out%20against%20Boise%20St.%20in%20win,football sep another hs ref attacked by player sep rams troll russell wilson after win sep week plays that blew away,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1130014,http://wiki.projectgorgon.com/w/index.php?title=Sir_Coth&oldid=78150,game chip silver salad fork silver spear head spider egg troll flesh wasp in amber telka's tail tundra lichen accuracy circuit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
777114,https://mrlizard.com/rants/why-havent-they-fixed-this-bug/?replytocom=433,who believes what he is saying or he is a troll in which case he is still a moron reply maud'dib,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
871366,https://newportcity.blogspot.com/2006/12/?preview=1&template=oriental&stylesheet=oriental,of b b wulfe don't bet agin it the city troll why julian assange should have been killed aye we can,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
551094,http://securebooking.eviivo.com/mywebsite/details.aspx?shortname=kensingt_FY16AJ&industrytype=1&startdate=2014-07-07&nights=1&windowsearch=0&location&adults1=1&productid=9c861445-627f-4b6c-8d48-67a4a053f45a&viewname=rooms,two floors and are equipped with en suite bath shower tea making facilities and remote controlled colour television each room also,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
214488,http://largomedical.com/your-health/?/21790/aiding-weight-loss,p prapochanung m tunkamnerdthai o et al effectiveness of green tea on weight reduction in obese thais a randomized controlled trial,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
