,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit
1376016,https://www.reliancegeneral.co.in/Insurance/Knowledge-Center/Videos/Tips-To-Strengthen-Your-Immunity-And-Stay-Healthy.aspx,employee's compensation insurance policy contractors plant and machinery policy standard fire and special perils policy public liability act insurance policy director's,,,0,0,0,0,0,1,0,1
3074,http://cdm16007.contentdm.oclc.org/cdm/compoundobject/collection/p16007coll22/id/6312/rec/3,to bring them out if this impression cau bo litlnsed mid whig apathy shnli open the way to llio polling ol,,,0,0,0,0,0,0,0,1
185308,http://researchbank.swinburne.edu.au/vital/access/manager/Login?exact=title%3A%22The+variability+in+strength+of+thermally+sprayed+coatings%22,initiatives jobs at swinburne campuses and facilities faculties and departments giving to swinburne contacts maps contact us campuses maps staff directory,,,0,1,0,0,0,0,0,1
50583,https://www.scotthamiltonproductions.com/backstage/22,e ing when scrolling hidden test e visibility tween g alpha backgroundcolor e color function n t var i when scrolling,,,0,0,1,0,0,0,0,1
1026637,https://mixandmatchmama.com/2013/03/dwts-recap-episode-2-jive/,little dog now today on my foodie blog i am giving away a copy of six sisters stuff new cookbook click,,,0,1,0,0,0,0,1,1
3275,https://en.m.wikiquote.org/wiki/A_History_of_Western_Philosophy,be found in heraclitus but in his philosophy the central fire never dies but fire is something continually changing and its,,,0,0,0,0,0,1,0,1
1099956,https://protectorfiresafety.com/loto-kit/12627-loto-common-kit-plus.html,special application fire ext d type metal s p kanex fire ext f type for kitchen kanex fire ext lithium-ion battery,,,0,0,0,0,0,1,0,1
975750,https://fire.nv.gov/bureaus/FPE/Variance/,grants links bureaus investigations enforcement key personnel fire fatality report fire protection engineering key personnel checklists variance guidelines and requests fire,,,0,0,0,0,0,1,0,1
372137,https://www.alpintiger.com/english/gear/stoves/,know the how-to of setting up a solid little cooking fire you'll enjoy cooking real meals i cooked pretty much all,,,0,0,0,0,0,1,0,1
931060,http://www.dailytech.com/article.aspx?newsid=29571&commentid=830565&threshhold=1&red=5026,test helps target treatment’ dailytech staff - jun am amazon fire hd nenfort golit - jun am google chromecast support for,,,0,0,0,0,0,1,0,1
1279809,https://leb.fbi.gov/articles/featured-articles/abduction-by-vehicular-assault,officer that he had become distracted when he dropped a lit cigarette in his lap the victim challenged his account claiming,,,0,0,0,0,0,0,0,1
413069,https://www.spkx.net.cn/EN/10.7506/spkx1002-6630-201322023,aroma enhancement technology on the flavor quality of congou black tea j food science - quality analysis and comprehensive evaluation of,,,0,0,0,0,0,0,0,1
429894,https://elizabethpress.com/ASSIGMENT/Beauty-%26-Fragrance/126,visibility g alpha when scrolling e visibility g alpha g alpha this resize function e transition update speed g transition update,,,0,0,1,0,0,0,0,1
1227115,https://www.dailymail.co.uk/news/article-2183672/Jeremy-Hunt-criticised-spotted-chatting-Rupert-Murdoch-Olympic-swimming-venue.html,inspired by her album jagged little pill four months after giving birth pregnant bachelor alum jamie otis asks for fans' prayers,,,0,1,0,0,0,0,0,1
