,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick
712744,http://www.boonvilledailynews.com/article/20120711/NEWS/307119998/0/ARTICLES,walk austin minnick meanwhile took the loss for chillicothe by giving up two runs on two hits in two innings in,,,0,1,0,0,0,0,1
536186,http://elizabethdillow.typepad.com/_a_swoop_and_a_dart_/camera-stories/,the condition of my otter box also needs an alert ick i'm trading in this one for a new phone in,,,0,0,0,0,0,0,1
706801,https://superfood-market.com/collections/hampstead-tea,to old date old to new filter quick view hampstead tea rosehip hibiscus x bags quick view hampstead tea darjeeling tea,,,0,0,0,0,0,0,1
690909,http://thealmostdone.com/2018/08/14/white-hat-seo-techniques-that-you-should-use-for-seo/,the seo techniques that are genuine and are focused on giving the audience or users value by sticking to the terms,,,0,1,0,0,0,0,1
875794,https://circleoffriendsbooks.blogspot.com/2013/12/tis-more-blessed-giveaway-and-tornado.html?showComment=1386945286035,trailer december stratplayercjf said i'm inspired by the season of giving that milo kicked off there are a lot of great,,,0,1,0,0,0,0,1
1282279,http://rightwingrightminded.blogspot.com/2004/05/return-of-heroes-as-you-can-see-heroes.html?widgetType=BlogArchive&widgetId=BlogArchive1&action=toggle&dir=open&toggle=MONTHLY-1214888400000&toggleopen=MONTHLY-1083387600000,i've changed a coup test yourself credit claudia this is sick dirty disney joke okay first a warning some pe wictory,,,0,0,0,0,0,0,1
629615,http://www.chiefsplanet.com/BB/showthread.php?t=272019&page=2,eat a bag of dicks and die in an aids fire etc thanks for your time now carry on your teabagging,,,0,0,0,0,0,1,1
368913,http://paleodietfoodlists.com/what-foods-are-paleo-paleo-diet-lose-weight-without-exercise.html,and a salad think in what oil was the chicken cooked did any of the salad toppings come processed canned or,,,0,0,0,0,0,0,1
87618,http://unusualmagic.blogspot.com/2009/02/ozbushfireappeal.html,can posted by vickie at pm labels appeal bush fire fire raise money comments chrisy february at pm yes it's so,,,0,0,0,0,0,1,1
316381,https://traditionalcookingschool.com/food-preparation/how-to-make-water-kefir/?utm_campaign=autoblog&utm_source=blog&utm_medium=bloglink&utm_content=Free%20Video%3A%20Lacto-Fermented%20Guacamole,work if you are still a new kefir taster your sick feelings may indeed be your body adjusting to the good,,,0,0,0,0,0,0,1
683736,http://www.sound-diaries.co.uk/tag/old-fire-station/,march th admin announcements no comments - tags audiograft old fire station patrick farmer toby o'connor the opening of an exhibition,,,0,0,0,0,0,1,1
371283,https://coyoterecords.bigcartel.com/category/news,new vanstorbing insolobridishn vanstorbing insolobridishn cd new on sale brodequin sick morgue - snapbacks on sale epicardiectomy abhorrent stench t-shirt sweatshirt,,,0,0,0,0,1,0,1
588622,http://wowinterface.com/downloads/fileinfo.php?id=13674&so=newest&page=51,new comments hopefully fixed the nil health values ----------- bugs ick ----------- unit raid icon info star moon circle square diamond,,,0,0,0,0,0,0,1
557696,http://www.thirdorder.org/love-by-eve-tushnet/,for demrick fauston by fred mcgavranaugust love by eve tushnetjuly tea house dreams by diane gallantjuly beta unauthorized by s k,,,0,0,0,0,0,0,1
795450,https://www.orthodoxsermons.org/sermons/church/coptic-orthodox-diocese-southern-united-states?taxsolr%5B0%5D=tax_keywords%3ADivinity%20of%20our%20Lord%20Jesus%20Christ&taxsolr%5B1%5D=tax_keywords%3AMediator&taxsolr%5B2%5D=tax_keywords%3Auphold%20the%20weak,the lord selfactualization senses sensual servant meeting servants serve serving sick skepticism society son of god sons of god spiritual spirituality,,,0,0,0,0,0,0,1
49482,https://www.deepcapture.com/2021/01/covid-and-imposters/?replytocom=1135310,for most my ex-boyfriend was a doctor who was always sick because he didn’t listen to me i’m not an anti-vaxxer,,,0,0,0,0,0,0,1
771003,http://www.renaihospital.com/medical-services/vaccinationand-immunization/others/338/?lan=en,before vaccines were available even healthy children can get very sick and be admitted to the hospital or even die from,,,0,0,0,0,0,0,1
1098310,https://www.ixxat.com/products/automotive-products/embedded-platform/frc-ep-190,experience by clicking any link on this page you are giving your consent for us to set cookies i want to,,,0,1,0,0,0,0,1
686332,https://www.autistichoya.com/2013/01/judge-rotenberg-center-survivors-letter.html,several times over and over again life saver my butt sick sick sick remember you will meet your maker someday how,,,0,0,0,0,0,0,1
1380002,https://apptopia.com/store-insights/top-charts/itunes-connect/business/france,find targeted leads quickly radar track your competitors' every move alpha intelligencenew spot signals ahead of the curve bloomberg terminal appnew,,,0,0,1,0,0,0,1
257261,http://bulldogskates.websitetoolbox.com/post/independent-trucks-corner-1791387?trail=15,og splash i have the reissue one of my faves sick design love that steve olson deck grail i keep sk,,,0,0,0,0,0,0,1
1132543,https://beyondmoney.net/resource-links/e-c-riegels-valun-mutual-money-plan/?like_comment=24722&_wpnonce=f530cb6028,educational institutions make people stupid do medical institutions make people sick such questions may at first glance seem preposterous but they,,,0,0,0,0,0,0,1
166712,http://forums.poz.com/index.php?topic=10896.0,germs that grow at room temperature can make you very sick clean all cutting boards and knives especially those that touch,,,0,0,0,0,0,0,1
1386468,https://www.stcathchurch.org/event/daily-mass-2-2023-11-02/,women sacraments baptism eucharist confirmation reconciliation matrimony anointing of the sick funerals liturgy faith formation faith formation order of christian initiation,,,0,0,0,0,0,0,1
1319748,http://www.icoachkids.eu/safeguarding-and-protecting-children-in-sport.html,as a coach ick coach education case studies ick parents ick clubs european coaching children curriculum free massive open online courses,,,0,0,0,0,0,0,1
1399744,https://www.dogfoodadvisor.com/forums/topic/new-york-times-article-2/,ago nadia k on rachel ray zero grain making dog sick hours minutes ago brett j on rachel ray zero grain,,,0,0,0,0,0,0,1
1080299,http://hypebeast.com/forums/fashion-brands/78918/page/2?topic_page=2,like a fucking oven eating a cupcake that one was sick my fav was that polar bear one that i never,,,0,0,0,0,0,0,1
927506,http://jungle-journey.blogspot.com/2010/12/does-anyone-care.html,skilled nurse was available to care for the children when sick we are not asking for a handout we are only,,,0,0,0,0,0,0,1
1236052,http://fpif.org/ploughshares_makes_life_hell_for_oak_ridge_nuke_plant/?q=Tag%253Adrone+strikes,up front enduring america foreign policy passport gary's choices gary sick glenn greenwald global day of action on military spending global,,,0,0,0,0,0,0,1
1148178,https://www.skiptomylou.org/best-ever-salad-recipes/,was better the second day great recipe i added some chopped grilled chicken for my husband who is not vegetarian it,,,0,0,0,1,0,0,1
582645,http://www.focusfanatics.com/forum/newreply.php?do=newreply&noquote=1&p=4203642,selling his cars until he finds one tricked out already lol sad though i wanted to whoop his honda i guess,,,0,0,0,0,0,0,1
26372,http://www.selfridges.com/GB/en/cat/beauty/skincare/toners/?fcts=Brand+Name~SISLEY&ic=19416&mrf=Brand+Name&ppp=min,hydrating toner ml quick look add to wishlist aesop b tea balancing toner ml quick look add to wishlist antipodes ananda,,,0,0,0,0,0,0,1
993309,https://buffalochronicle.com/2020/05/02/sophie-trudeau-cousin-alleges-liberal-party-coverup-to-protect-pedophile-officials/?replytocom=8276,the human trafficking funding that canada funded while trump is giving more and fighting hard as well as other countries so,,,0,1,0,0,0,0,1
1346545,http://www.c28.com/prayerboard/?appage=44&prpage=141,are moving to a smaller house our girls have been sick since last week we will be going to the doctors,,,0,0,0,0,0,0,1
