,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll,vibes,washed, ick, sus
1042023,https://www.mangashop.ro/manga/devils-and-realist/devils-and-realist-vol-2,and realist vol manga devils and realist vol manga inapoi sus manga comics figurine merchandise carti filme nou in stoc reduceri,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
687714,https://atwoodhats.com/9w7jkl/b7a2d9-oversized-towel-bar,bathrobe towel hook towel ring towel rack for m colloid sus stainless steel in bathroom kitchen no screws inch- inch -bar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
997719,http://www.mcdonoughvoice.com/article/20130331/NEWS/303319998/1007/'%20%20w%20%20',petition approved in court no injuries sustained in colchester house fire on tuesday afternoon no serious injuries in wednesday structure fire,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1317563,http://www.komu.com/news/local-scores-thursday-september-17-2015,in deadly vehicle fire foul play suspected in deadly vehicle fire audrain county - a criminal investigation is underway in a,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
819579,http://www.klru.org/schedule/episode/222613/?M=local,supporters donate friends of austin city limits klru next planned giving producers circle sponsorship sustaining membership volunteers austin city limits central,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
802295,https://allthingslawandorder.blogspot.com/2010/12/law-order-uk-duty-of-care-recap-review.html,ds matt devlin are called to the scene as the fire appears to be suspicious in origin there is evidence of,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
221002,http://blog.firedrake.org/archive/2015/08/Radiance__Alicorn.html,stuarts suburbia superheroes suspense television the resistance the weekly challenge thirsty meeples thriller tin soldier torg toys trailers travel type type,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
297873,http://www.adoptapet.com/pet/8885662-new-richmond-ohio-kitten,schnauzer strong but sweet super-sized sweeties sussex spaniel swedish vallhund tea cup poodle terriers medium terriers small thai ridgeback tibetan mastiff,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1415928,https://wanderinweeta.blogspot.com/2014/02/designer-wear-for-discriminating-hermit.html,quay my other sites wanderin' weeta my previous starter blog fire in the bedroll and susie my books my flickr albums,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
941784,https://ucanr.edu/site/uc-marin-master-gardeners?uid=830&ds=1020,rics sustainable agriculture research and education program environment uc anr fire network uc environmental stewards california institute for water resources informatics,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1314623,http://www.ourmidland.com/news/article/Thursday-crime-log-7206459.php,u s a m suspicious situation deputies the jerome township fire department and ems were sent to sanford lake near the,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1102915,https://www.koreaherald.com/article/1428436,do the young love labubu arson suspect in seoul subway fire in custody good sad angry recommended more from headlines trump,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
146548,https://aerohealthcare.com/us/aw1ozus-aerowash-eyewash-1oz/,wipes bag bandages abc bus aeroband triangular bandage box apd sus aeropad low adherent dressing in x in box bandages compresses,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
325068,http://stevekhan.com/carefula.htm,chord he uses an arpeggio in triplets that outlines a sus but the last note an f-natural anticipates the coming chord,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1237781,http://ja.flightaware.com/photos/view/352249-d8c0894b6deec92c533005cbdfab0e0aff6196b1,cqh starflyer sfj sun country airlines scx sun-air of scandinavia sus sunwest home aviation cnk sunwing swg surinaamse luchtvaart slm tam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1272303,https://www.su.se/english/education/student-life/student-unions?cache=%2Fapplication-admissions%2Fcourses%2Ffree-standing-courses,you can read more about how to get involved within sus here you can read more about how to get involved,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
607356,https://www.roxy.com/es/roxy-jetty-chaqueta-para-nieve-para-mujer-ERJTJ03280.html?dwvar_ERJTJ03280_color=wbn2&dwvar_ERJTJ03280_size=l,exclusives pop surf satin wetsuit honolulu's sweetheart you're blushing autumn vibes fitness easy breezy sunrise to sunset inspiraci n the sustainable,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
351580,https://www.musicbiatch.com/music/eswin/,y sus amigos download listen and view free eswin y sus amigos mp video and lyrics eswin download listen and view,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
406476,http://www.newsx.com/world/13659-mh370-can-be-found-soon-boeing-captain,deny aircraft caught fire new suspected mh debris found supports fire on board theory -year-old boy missing for one year found,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1060263,https://www.tuffsupplies.com/index.php/personal-safety/head-protection/helmets/accessories.html,americana vent mega ratchet cap style -point nylon suspension with ratchet adjustment safety helmet i- r replacement suspension your price erb,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
273346,https://droozandcompany.com/products/trout-am-illustrated-history,work from home fishing and hunting tea lover tattoo good vibes lovely lavender farmers market collection oodles of noodles sushi crazy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
442650,https://www.hipo.ro/locuri-de-munca/locuri_de_munca/109647/Hunt-Recruitment-/Workday-HRIS-Analyst-(Talent-&-Reward),cv european recrutare it teambuilding zile libere intrebari dificile interviu sus sus - - place this tag where you want the,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
893425,https://www.macrotrends.net/stocks/charts/SUGP/sus/pre-tax-profit-margin,to your site link preview html code click to copy sus pre-tax profit margin - sugp macrotrends source your data export,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
144840,https://pro.studioroof.com/products/lamu-mask-small/,order conditions terms and conditions image bank hanging instructions videos giving back contact our story sustainability our manufacturing order conditions terms,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1117431,http://go.nationalpartnership.org/site/News2?news_iv_ctrl=-1&abbr=daily2_&page=NewsArticle&id=37427,court research library blog support us donate now monthly sustainer giving annual event endowment employer matching workplace giving gifts of stock,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
636512,https://damagerestorationcleanup.com/texas/wichita-falls-tx/,if your property has sustained water damage call the water fire mold damage restoration cleanup crew immediately we treat water damage,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1023688,https://www.in2life.gr/18142/Movie.html,casablanca cruella subbed cunados digger dreambuilders dubbed el secreto de sus ojos ete everybody knows f the fast saga first cow,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1073990,https://www.usaid.gov/news-information/videos/devtalk-david-auerbach-raj-kundra-and-timothy-prewitt?field_country_mission_nid=All&field_sectors_nid=All&page=26,water sector west bank gaza october productores de cacao comparten sus historias october responding to hunger in the face of ebola,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
759100,http://ipetrus.blogspot.com/2010_07_01_archive.html,the future the role of fundamental science in environmental issues mid atlantic alternatives to invasive garden choices sustainable conservation landscaping a,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
575030,http://www.wholesalepages.co.uk/ukwholesalers/leicestershire-fashion-handbags-suppliers-3_26_54023_1.html,west sussex west yorkshire wiltshire worcestershirewales clwyd dyfed gwent gwynedd mid glamorgan powys south glamorgan west glamorganscotland aberdeenshire angus argyll and,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
964872,http://www.jeepforum.com/forum/f9/hood-louvers-do-they-really-work-1064062/index4.html,gear ratio with dual arb's suspension flat skid and custom mid arm link rear link trackbar front edelbrock remote resevoir shocks,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
790159,https://forums.eu.square-enix.com/archive/index.php/t-189722.html?s=2b9f36bcdde2339faa90cb3c04352587,huge steps towards high advanced robotic limbs for milliary use giving that elusive target a robotic arm that looks suspiciously a,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
302868,http://articles.aberdeennews.com/2010-11-27/news/26435455_1_fire-damages-home-smoke-damage-fire-department,when a wood-burning fireplace got too hot and started a fire in the wall the wall sustained smoke damage and minor,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
621497,https://www.crescentmall.com.vn/tenants/converse,uil sushi hokkaido sachi uil food beverage the coffee bean tea leaf food beverage gf - uil the coffee bean tea,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
852889,http://local12.com/news/features/local-12/stories/local-12-investigation-judge-tracie-hunter-5972.shtml,last game at nippert before renovations falmouth mayor helps fight fire suspected drunk driver hits house in south fairmount community response,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
