,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll,vibes
1270197,https://www.koin.com/am-extra/tech-tuesday-3-day-tech-event-to-kick-off-in-vegas/,washington dc education environment entertainment mysterywire com mainstream weedia positive vibes where we live northwest grown bestreviews black history month top,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1303241,https://megadistribution.us/products/extrax-thc-h-thc-jd-lights-out-disposable-2-gram,balanced hybrid effects make it suitable for relaxation or energizing vibes strawberry kush hybrid a rich musky strawberry flavor with subtle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183701,http://www.newstimes.com/seen/slideshow/Were-you-SEEN-at-Gathering-of-the-Vibes-Day-1-90809/photo-6668681.php,fun festive and bohemian outfits for the gathering of the vibes music festival at seaside park in bridgeport on thursday july,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1098991,https://www.penpapergift.com/brands/writech/space-up-cyberpunk-gel-pens/,all brands legami all legami back to school christmas good vibes halloween monster on the go all on the go bags,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
727459,http://www.allaboutjazz.com/red-norvo-four-classic-albums-by-david-rickert.php,on the ceiling also offers solid playing with norvo on vibes red mitchell red mitchell b bass on bass and either,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
951150,https://photos.dailynews.us.com/2017/04/protest-in-manila.html,photos - august photos of the day - august holi vibes victory touchdown photos of the day - july latest photos,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1048496,https://tixel.com/music-tickets/2019/09/06/paul-oakenfold-treehouse-miami-m,why you’re here you’re here for the music no bad vibes just real tickets real good prices and a great experience,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
328240,https://www.ticketreturn.com/prod2new/BuyClear.asp?EventID=259799&continue=buynew.asp,beer fest rochester red wings at innovative field rocky mountain vibes rocky mountain vibes at uchealth park state college spikes state,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46847,https://fakazavibes.com/option-tag/dj-king-tara-jack-knife/,sitemap listen and download south african music on fakaza fakaza vibes fakaza mp download latest fakaza music amapiano songs of south,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244118,https://www.calzedonia.com/uk/women/swimwear_and_beachwear/bikini/bikini_bottoms/brazilian_cut_bikini_bottoms/?start=0&sz=24,by product leggings jeans view all shop by trend spring vibes leggings flare rock vibes sporty casual mother and daughter shop,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103934,https://www.goodvibesonmain.ca/womens-crusher-tee-peanut-butter-jelly.html,sleeve long sleeve socks home mug bag clearance blog good vibes life with dogs tips on how to reduce waste on,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135876,https://hiphopdx.com/reviews/id.1766/title.dx-album-review-bits-hollywood-floss-maffew-ragazino-tabi-bonney,of a don’ sounds gorgeous but also like lazy after-party vibes review - gucci mane 'so icy boyz' is a standard,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82446,https://www.lovelifetoys.com/vibes-toys/custitem_suki_pick_of_the_day/false/type/App~Controlled-Vibrators,interactive vibrators it's the tesla of vibrators back to top vibes toys sex tech app-controlled vibrators clitoral vibes g-spot vibrators anal,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1019634,https://www.justinholman.com/2012/02/01/why-pueblo/?replytocom=78727,want and didn’t like what i learned or the bad vibes with gangs there no thanks reply justin years ago hi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
323261,https://thisis50.com/2019/01/28/meek-mill-going-bad-uptown-vibes-live-on-saturday-night-live/,tweet comments musical guest meek mill performs going bad uptown vibes with special guest fabolous on saturday night live related items,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
366727,https://bookstorelink.com/9781501152542,bookshop mt yonah book exchange columbus bound bookshop scribes and vibes the book cellar onyx bookstore cafe wildbird bookshop brave kind,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1256955,https://shotgunfind.com/shotguns/ethos,a combination of looks recoil reliability ergonimics and overall shooting vibes manufacturer summary the ethos is an elegant semi-automatic shotgun that,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
421796,https://800support.org/tag/green-infrastructure/,a complete guide coastal chic elegant decorating ideas for beach vibes essential strategies for selling your home quickly proven staging techniques,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
739607,https://mollysvintagevibes.com/collections/new-arrivals,mid century new arrivals molly's vintage vibes skip to content menu,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1373829,https://www.starsoverwashington.com/2010/10/green-comets-close-encounter-w-earth.html,tweets by judecowell astrology links james lynn page astrology celestial vibes magazine arabic star names a guide to illuminati symbols free,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
821690,http://www.djtechtools.com/2012/06/07/how-i-play-datsik-interview/,to use an s very cool guy lots of good vibes data dude what’s a s jayowi damn great interview expected,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208820,http://www.bipling.com/2010_04_01_archive.html,above was taken last time i was yukky sick bad vibes erm oki hope i am better soon posted by bip,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1015367,https://www.hereoxford.com/trump-xi-trade-relations/,s -china relations in a significant move towards restoring good vibes in international trade president donald trump and chinese leader xi,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
853047,http://goodbirdinc.blogspot.com/2008/05/stop-you-parrot-from-screaming-for.html?showComment=1309372946912,i am sure she was picking up on my anxious vibes i ignored her then when she did it and she,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
372933,https://www.tom-tailor.at/langarmshirt-mit-artwork-madchen-60000306,dots sports maritime styles mom jeans black white summer beach vibes what to wear sommerferien summer-pieces aus leinen last pieces herren,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1362155,https://revolva.net/2014/11/13/an-open-letter-to-oprah/?replytocom=18246,type of devaluation for sharing their greatest gifts i send vibes to you you already shine both on stage and off,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
339218,http://ebook2.worldlibrary.net/article/WHEBN0000228211/Futurama,baby blues complete savages drawn together full english futurama good vibes the maxx napoleon dynamite sit down shut up star wars,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
945401,https://searchlight.vc/searchlight/r-rose/2015/07/31/tt-a-worrying-experience/,easter messages features special features from the courts sports local vibes opinions editorial our readers’ opinions bassy love vine dr fraser-,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
438627,https://www.myguidealgarve.com/things-to-do/ocean-quest-algarve,adult - child - yrs under ’s are free sunset vibes a relaxed cruise at day's end to enjoy the daily,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148761,https://kmhk.com/tags/first-responders/,out of joliet mt is giving me some seriously creepy vibes michael foth michael foth florida montana program helping first responders,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
