,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll,vibes,washed, ick
555148,http://maturetubed.com/search/?q=french+mature,owners lick granny tube granny porn huge boobs world boobs ick mature sex us granny sex mature porn tube mature online,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
104857,https://forum.mrmoneymustache.com/ask-a-mustachian/what-small-things-did-you-do-today-to-save-money/msg259552/,is perfectly safe craigslist just can't help being creepy well ick you're right but better that than creepiness at my house,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
864908,http://www.theopensource.tv/nasa-nasas-alien-anomalies-caught-on-film-a-compilation-of-stunning-ufo-footage-from-nasas-arc-video_203adbf55.html,- new david icke full interview - - views fat sick and nearly dead views crossing the event horizon - nassim,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1281424,https://wiki.nazo.pics/dauntless/acne_cosmetics_not_a_emedy_fo_acne_osacea,c aft economy manual sta c aft ext acto t ick - how and when to use it sta c aft,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1078473,http://digital.ncdcr.gov/cdm/compoundobject/collection/p15016coll1/id/17084/rec/9,in ml u nils in i li in the i ick fte i'ripatcd only la ii ' to i ' a-i,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
880833,https://www.nytimes.com/topic/subject/lice?query=Camps%20and%20Camping&field=des&match=exact,are some cost-effective remedies to consider first may one louse ick two lice call for help upscale lice consultants are handling,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
744120,https://kingofstates.com/2015/08/28/fatty-mcfat-fat/?like_comment=55263&_wpnonce=dbf88a51b3,say that the use of words like warm and squishy ick me out i don’t want to be fetishized as a,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
717698,http://www.etiquettehell.com/smf/index.php?topic=123981.msg2859148,posts re come on how much reply on january am ick they were very rude i would pull my best dr,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1141201,https://paularenee.wordpress.com/live-love-laugh/identifying-a-narcissistic-sociopath/?like_comment=21368&_wpnonce=bde5eae91a&replytocom=16998,sense of dignity and then stand before us stone-faced and gaslight us what a piece of ick i’m sorry you witnessed,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
957241,http://chroniclingamerica.loc.gov/lccn/sn82016413/1909-09-13/ed-1/seq-10/,iron pl iy was tho feature of the match lll ick cone pletvly falling to do blmielf jus tify with tho,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
673418,http://scribbit.blogspot.com/2007/01/good-bad-and-smelly.html?showComment=1168010700000,few things worse than your disposal dying and the grody ick that is the result barf am stephanie said did you,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12277,http://rexwordpuzzle.blogspot.com/2008/05/wednesday-may-28-2008-cw-stewart-chief.html,pedophile that's a whole different level of creepy and illegal ick and eww our team won the six-week trivia contest last,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
375295,https://support.hp.com/my-en/document/c05923646,to execute see your browser's documentation for specific instructions z ick kgte aqo o ka u hp-support-head-portlet actions title loading hp,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
531508,http://www.mehr.de/spielstaetten/?tx_rbevents_eventcalendar%5Bcontroller%5D=EventCalendar&cHash=74665d2e4e1b550b9fb0c912326833c5,tickets sa apr berlin caveman tickets sa apr berlin berlin ick liebe dir - the sandstory of tickets so apr bochum,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
323662,https://www.complex.com/music/a/eric-diep/mura-masa-new-song-lovesick-feat-asap-rocky,ap rocky and mura masa connect on new song love ick a ap rocky and uk producer instrumentalist mura masa collaborate,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
626770,http://www.healthboards.com/boards/addiction-recovery/528651-i-am-merely-me-my-story-long-one.html,stomach bug so i must go take care of him ick haha' be back later love and blessings to all karen,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
734501,https://support.hp.com/bg-en/document/c05868979,this length description buttonname else description buttonname if each z ick kgte aqo o ka hp-feedback-input-portlet actions title loading z ick,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
916790,https://cakewrecks.blogspot.com/2009/09/creepy-crawly-cakes.html?showComment=1253128908344,that bed bugs feed on blood this ramps up the ick factor significantly i have to admit that the mole rat,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1198585,http://labbratz.com/?id=242,is your life taking the hobbits to isengard not it ick ick ick factoids thirty-five steps everyone needs an editor yub,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
