,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped
1263251,https://cooknshare.com/recipe/recipe/page/2/?ingredient=Cooked%20diced%20chicken%20-%203%20boneless%20skinless%20breasts,garlic whole ginger ginger ale ginger chopped ginger powder ginger chopped ginger minced golden or dark corn syrup good pinch of,,,0,0,0,1
186650,http://www.foodily.com/s/memorial-day-pea-quinoa-no-(extra-virgin-olive-oil),cooked deveined shrim - eggs lightly scrambled - green onions chopped - optional add sriracha sauce for - show all nutrition,,,0,0,0,1
847422,http://chowdivine.com/guilt-free-grain-free-almond-blueberry-muffins/,salt set it aside loosely chop the dates add the chopped dates coconut butter vanilla extract lemon juice and flax seed,,,0,0,0,1
1182891,https://www.charlotteobserver.com/living/south-park-magazine/article9050468.html,french bakery serves tablespoons butter or olive oil cloves garlic chopped teaspoon caraway seed pounds butternut squash peeled seeded and chopped,,,0,0,0,1
1419138,http://www.hungry-girl.com/recipe-makeovers/show/2039/like,drinks at home yay ingredients tsp shredded sweetened coconut roughly chopped tbsp unsweetened cocoa powder tbsp fat-free non-dairy powdered creamer like,,,0,0,0,1
369550,https://www.vegrecipesofindia.com/indori-poha-recipe/,fennel seeds let the fennel seeds splutter add green chili chopped stir and saut for a few seconds keep flame to,,,0,0,0,1
1213992,http://mountainstatesrosen.com/recipe/quinoa-crusted-veal-cutlets,chopped roasted green beans avocado chopped green onions chopped cup chopped red bell pepper tablespoon chopped dill pickle ingredients for the,,,0,0,0,1
675358,http://www.foodily.com/s/Ginger-Chicken-Soup-no-null-no-toasted,b chickens chicken carcasses cups chicken broth yellow onions whole chopped -inch chunk fresh ginger sl cup canola oil or any,,,0,0,0,1
1293437,http://www.jsgd.com/daucuscarota/?currentPage=137,and work there will also be a designer’s version of chopped happening simultaneously where some of boston’s designers fight to the,,,0,0,0,1
198146,http://thefooddudecooks.blogspot.com.au/2011/09/,wine tbs oven roasted cherry tomatoes bunch sage cloves garlic chopped large green olives minced extra virgin olive oil or tbs,,,0,0,0,1
1110762,http://www.care2.com/greenliving/4-powerful-qualities-of-positive-people.html,h years ago sorry a part of my post got chopped in the middle they are what they choose oh was,,,0,0,0,1
1406200,https://keralasdotlive.wordpress.com/2016/08/21/aloo-channa-chaat-tangy-potato-chickpea-snack/?like_comment=1488&_wpnonce=8928010704&replytocom=1204,ingredients cooked channa chickpeas cup diced potatoes cooked cup finely chopped onion of a medium onion finely chopped tomato tomato finely,,,0,0,0,1
1150383,https://www.fslplymouth.co.uk/premium-600g-fire-rated-fibreglass-roofing-kits/fire-rated-600g-premium-grp-fibreglass-roofing-kit-90m/,kg grey fire retardant topcoat kg square metres of g chopped strand mat catalyst hardener kg kit with tools also contains,,,0,0,0,1
567254,https://www.economybites.tv/tag/2017/8/2015/7/index.html,cup vegetable broth - can chickpeas well rinse and coarsely chopped -s p to taste - corn tortillas green tomatillo sauce,,,0,0,0,1
1127266,https://www.audioholics.com/news/sanus-basic-series-furniture-and-no-drill-tv-mount-kit-preview,lb weight capacity on the bottom shelf maybe if i chopped my amp in half i have to agree with this,,,0,0,0,1
633589,http://ebuild.in/glossary/grass-cloth,the whole wall together bonded rebonded foamcarpet underlay padding of chopped foam and filler materials bonded together by heat pressure and,,,0,0,0,1
860525,http://alphagameplan.blogspot.com/2015/03/gamma-not-omega.html?showComment=1427561288374,the reverse you've put the tail before the horse then chopped off the horse's head and declared it to be a,,,0,0,0,1
23384,http://www.deepsouthdish.com/2011/03/braun-bon-brown-good-smothered-potatoes.html?showComment=1301494175880,bottomed pot add the water top that with of the chopped onions top this with about of the potatoes in a,,,0,0,0,1
1117416,http://realfoodfast.blogspot.com/2009/08/,fat yogurt c flat leaf parsley chopped - t tarragon chopped t capers t lime juice t olive oil salt and,,,0,0,0,1
496927,http://helengraves.co.uk/2011/11/pork-knuckle-pibil/,sauce and guacamole for the sauce a red onion finely chopped scotch bonnets finely chopped teaspoon salt ml orange juice mix,,,0,0,0,1
508097,https://www.veginoc.com/tag/shouldbevegan/,herbed cauliflower - - cauliflower olive oil garlic minced parsley chopped lemon zest salt red pepper flakes more or less to,,,0,0,0,1
997168,http://www.motherearthnews.com/nature-and-environment/seafood-foraging-sapelo-island-zmaz89sozshe.aspx,liquid is absorbed serves steamed mussels cup chopped celery cup chopped onion cup chopped carrot sprigs parsley whole cloves bay leaves,,,0,0,0,1
1331505,http://my.foodnetwork.com/community/eyeflyby/style.esi?userid=45745021,contessa watch best thing i ever ate watch full episodes chopped diners drive-ins and dives the pioneer woman more full episodes,,,0,0,0,1
1230194,http://www.thefoodpsychologist.net/thefoodpsych/tag/summer/,dishes here are a few examples -peach muffins -chopped and cooked as a topping for yogurt pancakes or waffles -highlighted as,,,0,0,0,1
1341986,http://no2lorriesinbutepark.blogspot.com/,lopped back for lorries to pass after dozens of tress chopped down for building a theatre and a huge bridge for,,,0,0,0,1
377453,https://www.pinterest.com/jaydensmommy929/new-recipes-to-try-3/,on because that would've been amazing maybe mix in some chopped baby tomatoes too next time and there will be a,,,0,0,0,1
1345411,http://www.kraftrecipes.com/recipes/double-decker-tacos-50166.aspx?tab=recipe,pkg oz kraft shredded cheddar cheese cups shredded lettuce tomatoes chopped cup breakstone's or knudsen sour cream make it cook meat,,,0,0,0,1
675188,http://www.therawtarian.com/comment/10756,up - vote down hi ash you could use currants chopped dates chopped apricots dried pineapple or you could probably just,,,0,0,0,1
672722,http://m.allrecipes.com/recipe/231452/black-eyed-peas-with-collard-greens-and-turnips?sitepref=m,peeled and chopped add to shopping list bunch collard greens chopped add to shopping list cloves garlic minced add to shopping,,,0,0,0,1
13471,http://sjrecipes.angelcities.com/seafood_disk_101.htm,oil garlic cloves minced lb tomatoes skinned seeded and finely chopped sun-dried tomatoes in oil pounded to a paste c white,,,0,0,0,1
7919,http://www.yummly.com/recipes/filipino-fruits-and-vegetables,broccoli florets and more mixed vegetable saute country crock finely chopped onion ground black pepper red bell pepper sliced baby carrots,,,0,0,0,1
851073,http://ashleyakers.blogspot.com/2013_03_01_archive.html,to soften though that may not be necessary i added chopped red bell pepper turkey breast and red scallion the key,,,0,0,0,1
389909,http://www.oriyarasoi.com/2016/11/ghora-pitha.html,- - mins ingredients - cup arwa rice cup coconut chopped into small bits tsp salt sugar as per taste tsp,,,0,0,0,1
