,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh
1225540,https://whensteeltalks.ning.com/forum/topics/keep-pan-in-carnival-by-making-it-mandatory-that-all-panorama?commentId=2534462%3AComment%3A559890,do ah wuk on carnival days somebody post doh ask meh to wuk fuh carnival by kitch odw whey yuh reply,,,0,0,0,0,0,0,0,0,1
1093590,https://ur.fanpop.com/clubs/damon-salvatore/answers/show/122763/like-soooo-love-damon-but-wondering-what-yall-think-sexy-guy,life and his hair is just so sexy whoo trust meh u r not the one only one thinkin whoa that,,,0,0,0,0,0,0,0,0,1
1152510,https://forum.cyclingnews.com/threads/tour-de-france-2025-stage-7-saint-malo-%E2%80%93-m%C3%BBr-de-bretagne-197-0k.40600/page-18,the echelons but has been atrocious since click to expand meh could have been a lot worse mas is a pure,,,0,0,0,0,0,0,1,0,1
1048482,https://www.soalheiro.com/de/noticias/2019-05-quinta-do-soalheiro-e-alvarinho-um-blend-perfeito,red wine of plot pdf summer surprised but ended up giving the perfect harvest to alvarinho of melgac o pdf mehr,,,0,1,0,0,0,0,0,0,1
820518,http://www.rcgroups.com/forums/showthread.php?t=1177628&page=1275,crank on was the the st and it snapped in mid flight and flew my spinner off somehwere i did find,,,0,0,0,0,0,0,0,0,1
295660,http://www.cheapassgamer.com/index.php?showtopic=47751,of cds dvds and games all the other stuff was meh i'm assuming ep eden prairie sorry i just hadn't heard,,,0,0,0,0,0,0,0,0,1
28383,http://mckenna-posey-anon.polyvore.com/,mckenna-posey-anon sc by mckenna-posey-anonlikesc by mckenna-posey-anonlikenight by mckenna-posey-anon hellur follow meh by mckenna-posey-anon about polyvore team jobs press communityhelp help clipper,,,0,0,0,0,0,0,0,0,1
475602,http://es.redskins.com/newreply.php?do=newreply&p=9303740,future as grudens qb show comments hide comments dec qdeathstar meh dec rex tomb ummm what dec skins hail i woodant,,,0,0,0,0,0,0,0,0,1
1194841,http://www.hogville.net/yabbse/index.php?topic=622873.0;prev_next=next,january pm quote from tomaspistola on january pm i'm kinda meh on the switch i like the idea but what happens,,,0,0,0,0,0,0,0,0,1
357686,http://tmanalysis.econwiki.com/schools/all/rochester.html,notification date notified through email posted on gf no comments meh institution rochester ph d economics decision rejected funding notification date,,,0,0,0,0,0,0,0,0,1
174796,http://www.quickmeme.com/First-World-Halo-Problems/,google plus share on pinterest first world halo problems like meh brought halo home for christmas break forgot to bring my,,,0,0,0,0,0,0,0,0,1
103352,https://amorninggrouch.com/2013/10/03/the-5-worst-things-you-can-say-to-a-blogger-2/?replytocom=2575,at pm me too sometimes i care sometimes i don’t meh reply donkey whisperer farm says november at pm congratulations making,,,0,0,0,0,0,0,0,0,1
563989,https://www.videopoker.com/forum/viewtopic.php?p=142509&sid=3d2636c3fcfb1f649fe40d79ac3f034f,the life i live that it somehow annoys some internet troll just makes it all that much sweeter top billryan video,,,0,0,0,0,0,0,0,0,1
1270521,http://www.threadbombing.com/search.php?search_keywords=threadbomb,gonna hate internet iswydt it's a trap jesus lol lolcats meh moar misc bombs nomming noob not amused obvious old omg,,,0,0,0,0,0,0,0,0,1
745468,https://www.bendhealth.com/buddies/gus,tips for when your child is having one of those meh days have you noticed that your child seems to be,,,0,0,0,0,0,0,0,0,1
105773,https://soulfuldesire.wordpress.com/2020/04/16/wanting/,sometimes i get so lonely i could- the song kinda meh likeliked by person oviate says april at am i could,,,0,0,0,0,0,0,0,0,1
1176185,https://www.taegukwarriors.com/post-match-review-korea-0-1-qatar/,as defense is usually korea’s weakest point not its strongest meh kim jin-su started on the left of defense an understandable,,,0,0,0,0,0,0,0,0,1
190833,http://www.housepetscomic.com/forums/viewtopic.php?p=411868,amposts location new jersey the abyss re discussion video games meh aside from the fact i don't think meta knight should,,,0,0,0,0,0,0,0,0,1
983756,https://thefresnan.typepad.com/fresgeekblog/2011/02/goofy-as-shit-chuck-leonard-picketing-sequoia-brewery.html,strip blogs from the valley floor yosemite blog world of meh troismois travis sheridan tits and giggles thinking blonde the daily,,,0,0,0,0,0,0,0,0,1
832295,https://phhhst.blogspot.com/2008/12/wanted.html?showComment=1229175060000,i'm sure the followers will come back and if not meh they were no good anyway p sadly i have no,,,0,0,0,0,0,0,0,0,1
667416,http://www.epicfail.com/2009/08/19/bicep-fail/,stuffed a baby in there somehow o o reply add troll comment name email comment recent activity nose hair commented on,,,0,0,0,0,0,0,0,0,1
404406,http://cakewrecks.blogspot.com/2011/03/bridal-terrors.html?showComment=1300885556332,anyway how do these bakers look at these and say meh looks good to me serve it they're either blind or,,,0,0,0,0,0,0,0,0,1
655497,http://www.mania.com/sannnbmdzjpakm/independence-day-sequel-update_article_137163.html,to any of those characters unless its randy quaid's crazy twin brother vtgamehendge am i'd like to see this i've been,,,0,0,0,0,0,0,0,0,1
1221112,http://ru.fanpop.com/clubs/total-drama-island/articles/63467/title/total-drama-high-school-episode-4,i hope of u guys stay tdilover ever rayven hurt meh o good story he's so confusing to me noco posted,,,0,0,0,0,0,0,0,0,1
89375,http://muchosucko.com/92340/Kate-Upton-2012-Sports-Illustrated-Cover,this idiot years ago yak harsh years ago thought criminal meh years ago -morph- so who the hell is she and,,,0,0,0,0,0,0,0,0,1
1426264,http://www.theclevelandfan.com/boards/viewtopic.php?p=528719,qb-ing here and i think there are a lot of meh to bad qb's that can have a da-esque run if,,,0,0,0,0,0,0,0,0,1
132300,https://www.subaruoutback.org/threads/headers-for-a-2000-outback.454226/,- any insight would be great save share reply awdftw meh i has wagons joined may posts dec only show this,,,0,0,0,0,0,0,0,0,1
