model,slot,target,year,choice,is_target,count,n_valid
claude-sonnet-4-6,exp3_glow_up,glow-up,2019,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2020,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2021,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2022,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2023,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2024,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2025,glow-up,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2013,legit,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2014,legit,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2015,legit,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2016,legit,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2017,legit,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2018,legit,1,30,30
claude-sonnet-4-6,exp3_legit,legit,2019,legit,1,28,30
claude-sonnet-4-6,exp3_legit,legit,2019,on god,0,2,30
claude-sonnet-4-6,exp3_legit,legit,2020,legit,1,21,30
claude-sonnet-4-6,exp3_legit,legit,2020,on god,0,9,30
claude-sonnet-4-6,exp3_legit,legit,2021,legit,1,20,30
claude-sonnet-4-6,exp3_legit,legit,2021,on god,0,10,30
claude-sonnet-4-6,exp3_legit,legit,2022,legit,1,23,30
claude-sonnet-4-6,exp3_legit,legit,2022,on god,0,7,30
claude-sonnet-4-6,exp3_legit,legit,2023,legit,1,23,30
claude-sonnet-4-6,exp3_legit,legit,2023,on god,0,7,30
claude-sonnet-4-6,exp3_legit,legit,2024,legit,1,23,30
claude-sonnet-4-6,exp3_legit,legit,2024,on god,0,7,30
claude-sonnet-4-6,exp3_legit,legit,2025,legit,1,21,30
claude-sonnet-4-6,exp3_legit,legit,2025,on god,0,9,30
claude-sonnet-4-6,exp3_lmao,lmao,2013,lol,0,30,30
claude-sonnet-4-6,exp3_lmao,lmao,2014,lmao,1,4,30
claude-sonnet-4-6,exp3_lmao,lmao,2014,lol,0,26,30
claude-sonnet-4-6,exp3_lmao,lmao,2015,lmao,1,19,30
claude-sonnet-4-6,exp3_lmao,lmao,2015,lol,0,11,30
claude-sonnet-4-6,exp3_lmao,lmao,2016,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2016,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2017,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2017,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2018,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2018,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2019,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2019,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2020,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2020,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2021,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2021,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2022,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2022,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2023,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2023,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2024,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2024,lol,0,10,30
claude-sonnet-4-6,exp3_lmao,lmao,2025,lmao,1,20,30
claude-sonnet-4-6,exp3_lmao,lmao,2025,lol,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2013,lol,1,30,30
claude-sonnet-4-6,exp3_lol,lol,2014,lol,1,30,30
claude-sonnet-4-6,exp3_lol,lol,2015,lol,1,30,30
claude-sonnet-4-6,exp3_lol,lol,2016,lmao,0,1,30
claude-sonnet-4-6,exp3_lol,lol,2016,lol,1,29,30
claude-sonnet-4-6,exp3_lol,lol,2017,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2017,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2018,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2018,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2019,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2019,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2020,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2020,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2021,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2021,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2022,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2022,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2023,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2023,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2024,lmao,0,10,30
claude-sonnet-4-6,exp3_lol,lol,2024,lol,1,20,30
claude-sonnet-4-6,exp3_lol,lol,2025,lmao,0,19,30
claude-sonnet-4-6,exp3_lol,lol,2025,lol,1,11,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2013,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2014,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2015,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2016,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2017,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2018,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2019,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2020,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2021,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2022,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2023,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2024,lowkey,1,30,30
claude-sonnet-4-6,exp3_lowkey,lowkey,2025,lowkey,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2013,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2014,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2015,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2016,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2017,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2018,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2019,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2020,meh,1,30,30
claude-sonnet-4-6,exp3_meh,meh,2021,meh,1,20,27
claude-sonnet-4-6,exp3_meh,meh,2021,mid,0,7,27
claude-sonnet-4-6,exp3_meh,meh,2022,meh,1,20,29
claude-sonnet-4-6,exp3_meh,meh,2022,mid,0,9,29
claude-sonnet-4-6,exp3_meh,meh,2023,meh,1,20,30
claude-sonnet-4-6,exp3_meh,meh,2023,mid,0,10,30
claude-sonnet-4-6,exp3_meh,meh,2024,meh,1,20,30
claude-sonnet-4-6,exp3_meh,meh,2024,mid,0,10,30
claude-sonnet-4-6,exp3_meh,meh,2025,meh,1,20,30
claude-sonnet-4-6,exp3_meh,meh,2025,mid,0,10,30
claude-sonnet-4-6,exp3_omg,omg,2013,omg,1,30,30
claude-sonnet-4-6,exp3_omg,omg,2014,omg,1,30,30
claude-sonnet-4-6,exp3_omg,omg,2015,omg,1,20,30
claude-sonnet-4-6,exp3_omg,omg,2015,shook,0,10,30
claude-sonnet-4-6,exp3_omg,omg,2016,omg,1,10,30
claude-sonnet-4-6,exp3_omg,omg,2016,shook,0,20,30
claude-sonnet-4-6,exp3_omg,omg,2017,omg,1,10,30
claude-sonnet-4-6,exp3_omg,omg,2017,shook,0,20,30
claude-sonnet-4-6,exp3_omg,omg,2018,omg,1,9,30
claude-sonnet-4-6,exp3_omg,omg,2018,shook,0,21,30
claude-sonnet-4-6,exp3_omg,omg,2019,omg,1,10,30
claude-sonnet-4-6,exp3_omg,omg,2019,shook,0,20,30
claude-sonnet-4-6,exp3_omg,omg,2020,omg,1,10,30
claude-sonnet-4-6,exp3_omg,omg,2020,shook,0,20,30
claude-sonnet-4-6,exp3_omg,omg,2021,omg,1,10,30
claude-sonnet-4-6,exp3_omg,omg,2021,shook,0,20,30
claude-sonnet-4-6,exp3_omg,omg,2022,omg,1,10,30
claude-sonnet-4-6,exp3_omg,omg,2022,shook,0,20,30
claude-sonnet-4-6,exp3_omg,omg,2023,omg,1,20,30
claude-sonnet-4-6,exp3_omg,omg,2023,shook,0,10,30
claude-sonnet-4-6,exp3_omg,omg,2024,omg,1,20,30
claude-sonnet-4-6,exp3_omg,omg,2024,shook,0,10,30
claude-sonnet-4-6,exp3_omg,omg,2025,omg,1,20,30
claude-sonnet-4-6,exp3_omg,omg,2025,shook,0,10,30
claude-sonnet-4-6,exp3_red_pill,red pill,2013,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2014,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2015,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2016,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2017,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2018,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2019,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2020,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2021,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2022,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2023,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2024,red pill,1,30,30
claude-sonnet-4-6,exp3_red_pill,red pill,2025,red pill,1,30,30
claude-sonnet-4-6,exp3_sick,sick,2013,rad,0,10,30
claude-sonnet-4-6,exp3_sick,sick,2013,sick,1,20,30
claude-sonnet-4-6,exp3_sick,sick,2014,dank,0,10,30
claude-sonnet-4-6,exp3_sick,sick,2014,rad,0,10,30
claude-sonnet-4-6,exp3_sick,sick,2014,sick,1,10,30
claude-sonnet-4-6,exp3_sick,sick,2015,dank,0,30,30
claude-sonnet-4-6,exp3_sick,sick,2016,dank,0,30,30
claude-sonnet-4-6,exp3_sick,sick,2017,dank,0,29,30
claude-sonnet-4-6,exp3_sick,sick,2017,sick,1,1,30
claude-sonnet-4-6,exp3_sick,sick,2018,fire,0,20,30
claude-sonnet-4-6,exp3_sick,sick,2018,sick,1,10,30
claude-sonnet-4-6,exp3_sick,sick,2019,fire,0,20,30
claude-sonnet-4-6,exp3_sick,sick,2019,sick,1,10,30
claude-sonnet-4-6,exp3_sick,sick,2020,fire,0,22,30
claude-sonnet-4-6,exp3_sick,sick,2020,sick,1,8,30
claude-sonnet-4-6,exp3_sick,sick,2021,fire,0,21,30
claude-sonnet-4-6,exp3_sick,sick,2021,sick,1,9,30
claude-sonnet-4-6,exp3_sick,sick,2022,fire,0,29,30
claude-sonnet-4-6,exp3_sick,sick,2022,sick,1,1,30
claude-sonnet-4-6,exp3_sick,sick,2023,fire,0,30,30
claude-sonnet-4-6,exp3_sick,sick,2024,fire,0,30,30
claude-sonnet-4-6,exp3_sick,sick,2025,fire,0,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2013,friends with benefits,0,19,29
claude-sonnet-4-6,exp3_situationship,situationship,2013,situationship,1,10,29
claude-sonnet-4-6,exp3_situationship,situationship,2014,friends with benefits,0,10,30
claude-sonnet-4-6,exp3_situationship,situationship,2014,situationship,1,20,30
claude-sonnet-4-6,exp3_situationship,situationship,2015,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2016,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2017,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2018,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2019,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2020,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2021,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2022,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2023,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2024,situationship,1,30,30
claude-sonnet-4-6,exp3_situationship,situationship,2025,situationship,1,30,30
claude-sonnet-4-6,exp3_slay,slay,2013,ate,0,4,30
claude-sonnet-4-6,exp3_slay,slay,2013,slay,1,10,30
claude-sonnet-4-6,exp3_slay,slay,2013,snatched,0,16,30
claude-sonnet-4-6,exp3_slay,slay,2014,ate,0,4,30
claude-sonnet-4-6,exp3_slay,slay,2014,slay,1,20,30
claude-sonnet-4-6,exp3_slay,slay,2014,snatched,0,6,30
claude-sonnet-4-6,exp3_slay,slay,2015,slay,1,30,30
claude-sonnet-4-6,exp3_slay,slay,2016,slay,1,30,30
claude-sonnet-4-6,exp3_slay,slay,2017,slay,1,23,30
claude-sonnet-4-6,exp3_slay,slay,2017,snatched,0,7,30
claude-sonnet-4-6,exp3_slay,slay,2018,slay,1,10,30
claude-sonnet-4-6,exp3_slay,slay,2018,snatched,0,20,30
claude-sonnet-4-6,exp3_slay,slay,2019,ate,0,6,29
claude-sonnet-4-6,exp3_slay,slay,2019,slay,1,10,29
claude-sonnet-4-6,exp3_slay,slay,2019,snatched,0,13,29
claude-sonnet-4-6,exp3_slay,slay,2020,ate,0,8,28
claude-sonnet-4-6,exp3_slay,slay,2020,slay,1,10,28
claude-sonnet-4-6,exp3_slay,slay,2020,snatched,0,10,28
claude-sonnet-4-6,exp3_slay,slay,2021,ate,0,19,29
claude-sonnet-4-6,exp3_slay,slay,2021,slay,1,3,29
claude-sonnet-4-6,exp3_slay,slay,2021,snatched,0,7,29
claude-sonnet-4-6,exp3_slay,slay,2022,ate,0,18,28
claude-sonnet-4-6,exp3_slay,slay,2022,slay,1,10,28
claude-sonnet-4-6,exp3_slay,slay,2023,ate,0,16,26
claude-sonnet-4-6,exp3_slay,slay,2023,slay,1,10,26
claude-sonnet-4-6,exp3_slay,slay,2024,ate,0,20,30
claude-sonnet-4-6,exp3_slay,slay,2024,slay,1,10,30
claude-sonnet-4-6,exp3_slay,slay,2025,ate,0,20,30
claude-sonnet-4-6,exp3_slay,slay,2025,slay,1,9,30
claude-sonnet-4-6,exp3_slay,slay,2025,snatched,0,1,30
claude-sonnet-4-6,exp3_swag,swag,2013,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2014,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2015,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2016,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2017,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2018,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2019,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2020,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2021,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2022,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2023,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2024,swag,1,30,30
claude-sonnet-4-6,exp3_swag,swag,2025,swag,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2013,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2014,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2015,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2016,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2017,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2018,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2019,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2020,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2021,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2022,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2023,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2024,troll,1,30,30
claude-sonnet-4-6,exp3_troll,troll,2025,troll,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2013,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2014,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2015,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2016,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2017,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2018,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2019,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2020,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2021,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2022,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2023,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2024,vibe,1,30,30
claude-sonnet-4-6,exp3_vibe,vibe,2025,vibe,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2013,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2014,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2015,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2016,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2017,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2018,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2019,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2020,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2021,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2022,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2023,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2024,vibes,1,30,30
claude-sonnet-4-6,exp3_vibes,vibes,2025,vibes,1,30,30
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2013,alpha,1,28,28
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2014,alpha,1,30,30
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2015,alpha,1,28,28
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2016,alpha,1,26,26
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2017,alpha,1,29,29
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2018,alpha,1,28,29
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2018,stan,0,1,29
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2019,alpha,1,30,30
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2020,alpha,1,28,29
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2020,stan,0,1,29
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2021,alpha,1,29,29
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2022,alpha,1,26,26
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2023,alpha,1,30,30
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2024,alpha,1,30,30
dexcrow-01c6/deepseek-v4-expt,exp3_alpha,alpha,2025,alpha,1,29,29
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2013,aura,1,11,22
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2013,vibe,0,11,22
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2014,aura,1,9,26
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2014,vibe,0,17,26
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2015,aura,1,5,22
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2015,vibe,0,17,22
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2016,aura,1,8,15
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2016,vibe,0,7,15
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2017,aura,1,9,24
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2017,vibe,0,15,24
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2018,aura,1,9,18
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2018,vibe,0,9,18
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2019,aura,1,8,21
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2019,vibe,0,13,21
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2020,aura,1,6,19
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2020,rizz,0,1,19
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2020,vibe,0,12,19
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2021,aura,1,11,24
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2021,rizz,0,12,24
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2021,vibe,0,1,24
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2022,aura,1,3,23
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2022,rizz,0,20,23
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2023,aura,1,9,28
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2023,rizz,0,19,28
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2024,aura,1,16,23
dexcrow-01c6/deepseek-v4-expt,exp3_aura,aura,2024,rizz,0,7,23
dexcrow-01c6/deepseek-v4-expt,exp3_bro,bro,2013,bro,1,12,29
dexcrow-01c6/deepseek-v4-expt,exp3_bro,bro,2013,bruh,0,17,29
dexcrow-01c6/deepseek-v4-expt,exp3_bro,bro,2014,bro,1,3,30
dexcrow-01c6/deepseek-v4-expt,exp3_bro,bro,2014,bruh,0,27,30
dexcrow-01c6/deepseek-v4-expt,exp3_bro,bro,2015,bro,1,8,30
dexcrow-01c6/deepseek-v4-expt,exp3_bro,bro,2015,bruh,0,22,30
