target,uri,target_context,roberta_score
lol,http://www.visioneersolidsurface.com/montgomery-alabama-hornydbj.html,"party. Good intense -ing correct leaving
Italy and i am use to being horny lonely housewives.
Once in the bed lol im lookin 4 those women that is not close then your basically. Deceit conversation when the weather warms up couple",1.0000
lol,http://donkeysmiles.blogspot.com/2013/01/whimsy-stamps-lovin-alex.html,"fun! Yep, now I was so tired and run down that this card took me a few days to do. LOL But I feel more like me now and last night I finished up this card and started another. Now how",1.0000
lol,http://donkeysmiles.blogspot.com/2013/01/whimsy-stamps-lovin-alex.html,got a bit insane. And then I was not 100% and really didn't have the energy to care at all. LOL But I am doing 95% better and really caring! So today is a cleaning day. And then... I think I,1.0000
vibes,http://www.vulture.com/2013/01/real-housewives-of-beverly-hills-recap-season-3-episode-8.html,"looks like Alex McCord and she has the soul hollowness of a cigar store Indian. I also just get creepy vibes from her and her anemic ponytail. Go away, MZ. Nobody wants to see your cheekbones lit like that in a",1.0000
lit,http://www.vulture.com/2013/01/real-housewives-of-beverly-hills-recap-season-3-episode-8.html,"also just get creepy vibes from her and her anemic ponytail. Go away, MZ. Nobody wants to see your cheekbones lit like that in a confessional. Nobody wants to think about how your necklace lays while you’re in downward facing dog.",1.0000
epic,http://www.metafilter.com/tags/podcast+Nerdist,"Bad just hours away, fans of the show are hungry for something, anything to wile away the time before the epic conclusion tonight. So why not kick back and chew the fat with your fellow MeFites with the help of a",1.0000
brat,http://www.sparkpeople.com/mypage_public_journal_individual.asp?blog_id=4842898,"diet had changed and the 2 hours in prep I had done for her meals was wasted!! BREATHE BREATHE So BRAT diet shopping begins. Plus other survival items.
after tht I got a hair cut. That is a big thing for",1.0000
tea,http://www.newsbusters.org/blogs/tim-graham/2010/08/09/after-msnbc-mocks-angle-expecting-fox-info-plugs-ed-schultz-boasts-how-h,"was boasting he'd do for the Democrats:
Wow. Now, you know it‘s bad when Fox News is calling the newest Tea Party queen naive. Hey, Sharron, I‘ll tell you how your wish can come true. Move to China.
Their media censorship",1.0000
salty,http://www.harrypotterfanfiction.com/viewstory.php?chapterid=505593,"properly?” I said. “Then you go on to be some big name Quidditch star and the Harpies are left feeling salty when they lose twenty games straight, go to the bottom of the rankings, and people start making up silly nicknames",1.0000
rad,https://en.wikiquote.org/wiki/Roger_Manganelli,"they are amazing! It's good stuff. It's aggressive and unpredictable and I love it!!
Roger: Yeah, it’s really not that rad.
Roger: The press girl’s not that cool (chuckles) but that’s all. I’m just kidding! (Press girl making mean face). I’m",1.0000
alpha,http://jezebel.com/worst-guy-ever-alert-beware-of-horrible-hipster-pastor-1477472909/all,"I wouldn't normally give extra attention to preening alpha evangedouche Mark Driscoll, but he seems to be popping up more and more in my mainstream feeds lately. His existence",1.0000
meh,http://www.pokecommunity.com/showpost.php?p=6811855&postcount=3,"Gyro always bothered me.
Since you have no Swift Swimmers other than Ludicolo itself (and Ludicolo in OU is rather meh), how about Politoed?
I was also recommended on turning Ludicolo into a SubSeeder (newly learned competitive lingo for the win!).",1.0000
bruh,http://www.contracostatimes.com/contra-costa-times/ci_22572806/black-history-month-early-black-americans-who-paved,"British were like, ""I say, do what we tell you, won't you, old chap?"" and then America was like, ""Nah, bruh. We're not calling cookies 'biscuits' anymore."" And the British were all, ""Oh, bother. I fear we shall have to thrash",1.0000
vibe,http://crankyactress.com/category/auditions/,how many people responded? Is there a difference between a laconic response and an enthusiastic one? Can you feel a vibe when you look at a submission-“Hmmmm this feels enthusiastic!” Seriously? If you asked any of the sheer volume of actors,1.0000
lol,http://backpackinglight.com/forums/topic/88983/,"– it does not and cannot love us back.
Or maybe it was just that strange noise you just heard. LOL
Anyway, probably experiencing that as part of your solo adventures, if only briefly, is something as good for the soul",1.0000
lol,http://www.pitbulltalk.com/viewtopic.php?p=366489,"I'm not sure what you mean by 3 minor incidents, so tell me quick, before my head explodes from curiosity, LOL......
I""m glad you've been looking around the forum and found that there's a lot of people here who possess a",1.0000
alpha,http://www.gamerevolution.com/faq/metroid-prime-2-echoes/faq-for-metroid-prime-2-1971,"is 10x bigger, 10x
meaner, and tough as heck, can shoot sonic waves, and is a pain. That is the
alpha blogg. Sound tough? To be honest, it isn't as tough as it sounds.
To fight it I reccomend the following",1.0000
lol,http://themeforest.net/forums/thread/increase-videohive-prices/95581?page=10,"price increase’ , that would be great, so my competitors now have to spend more, and you guys get more lol
here’s to higher sales!
and since I’ve just spent hundreds on projects this past week from my bookmarked projects, in",1.0000
lol,http://themeforest.net/forums/thread/increase-videohive-prices/95581?page=10,"price increase’ , that would be great, so my competitors now have to spend more, and you guys get more lol here’s to higher sales!
Hmm, maybe we’ll wait for some time.
He is even closer to 5000 than to 1000,",1.0000
lol,https://www.2carpros.com/questions/1998-audi-a4-check-engine-light-came-on,"AT 11:28 AM
Thomas, guess I need to look you up instead of when it comes to these continental cars, lol.",1.0000
epic,http://community.sparknotes.com/2010/10/19/committee-of-cool-mumford-sons-and-melissa-albert,"song.
Chelsea: Me too! Like when they all look at the camera and say ""HEYYY""?
Emily: It is way too epic. Chelsea, this is a song of fools!
Chelsea: THERE IS NO SUCH THING AS TOO EPIC. If there were, Gladiator",1.0000
epic,http://community.sparknotes.com/2010/10/19/committee-of-cool-mumford-sons-and-melissa-albert,"It is way too epic. Chelsea, this is a song of fools!
Chelsea: THERE IS NO SUCH THING AS TOO EPIC. If there were, Gladiator would have never been a movie.
Melissa: It reminds me of the song from that terrible",1.0000
vibes,http://graphics.latimes.com/picksheet-critics-picks-sept-6-12-2013/,"a 720 Degrees arcade game in the corner, stacks and stacks of foam trucker hats, T-shirts and hoodies spreading good vibes like ""Pray for Surf"" and ""California Is for Lovers.""... It's such a sensory experience, you half expect your shoes to",1.0000
epic,https://christenheartspinterest.wordpress.com/2012/02/28/car-seat-cover/,Weight Loss Jars that I completed in like 10 minutes yesterday. The second project turned out to be a total epic fail and left me screaming at my sewing machine. My third project was to make a car seat cover for,1.0000
lol,http://www.tropicalfishkeeping.com/printthread.php?t=18490,"subscribe if you wanna keep up with what Im doing. Tell me what you think Im looking for constructive criticisim.
Lol I don't know if this counts but my sister got me hooked on this and I watched the whole season",1.0000
lol,http://www.tropicalfishkeeping.com/printthread.php?t=18490,"on this show for a while there. Its just anime dogs killing each other but theres a good story line. Lol and in pretty much every episode a main character dies, its epic.
Most anime really grates on my nerves, but",1.0000
troll,https://www.coachella.com/forum/showthread.php?57961-Against-Me!-now-fronted-by-a-chick&p=2490713&viewfull=1,"Pretty sure he's a troll. He's always a troll.
Pretty sure he's a troll. He's always a troll.
Tell us more about that punk rock",1.0000
lol,http://www.blufftontoday.com/blog-post/2009-12-25/where-bakery-located-bluffton,"that some has blogged about?? It seems as if I am always lost, LOL. Happy New Year to all of you. I am doing much better these days, almost back up to snuff, LOL.",1.0000
lol,http://www.blufftontoday.com/blog-post/2009-12-25/where-bakery-located-bluffton,"rode the lawn tractor yesterday and was waving at friends again, some of you may have seen me doing that, LOL.",1.0000
vibes,http://moejackson.com/2013/02/25/why-does-everyone-hate-anne-hathaway/,not like she’s a friggin’ war criminal . . . or a spotlight-obsessed reality star. You’re likely to find warmer vibes between Jon Hamm and Kim Kardashian than you are between Hathaway and the millions (billions?) tweeting about her during the,1.0000
lol,http://www.raptorsforum.com/f/610236-post79.html,"this.
Not trying to be a dick or anything but this post reminded me of this and made me laugh lol",1.0000
lol,http://thesoho.blogspot.com/2009/12/getting-carded.html,"MY FAVE FAVE FAVE. The humour is just FANTASTIC. You totally made my day with this post. FIVE THUMBS UP!
LOL!!!! I like these too. I like weird humor!clothedmuch.blogspot.com
Are those ever cute! I'm going over right now!
These are so",1.0000
lol,http://www.thisisms.com/forum/chronic-cerebrospinal-venous-insufficiency-ccsvi-f40/topic8643.html,"have been lucky enough to feel real improvement. I want to eliminate all unnecessary meds, ASAP! I have no patience, LOL.
I do know how distressing this can be to my body, so I'm trying to go slow.
I was on",1.0000
lol,http://www.loveshack.org/forums/romantic/dating/275767-i-didn-t-know-so-many-girls-like-giving-rimjobs,"I never considered myself good with women, but somehow I have a magic touch when it comes to getting rimjobs, lol.
I'm a woman and I don't think I'd say I ""like giving rimjobs"" but I like pleasing my partner. He",1.0000
twinning,http://perezhilton.com/2014-04-10-johnny-depp-friends-think-he-is-not-ready-to-settle-down-with-amber-heard?photo=2,"Of Ray J Criticizing Kim Kardashian's Hygiene Has Resurfaced -- And The Performer Is PISSED About It Coming To Light!
Twinning! Larry David & Bernie Sanders Go In On A Memorable SNL -- See The Clips HERE!
Bow Down To The",1.0000
vibes,https://www.mixcloud.com/PowerDamInitiative/,"that can't be stopped, THE POWER DAM INITIATIVE will give you the booty shaking tracks you need and the crazy vibes you want. Soul, hip hop, funk, samba, jazz, bossa and even rock'n roll... the good times are only a click",1.0000
lol,https://www.realself.com/review/tampa-fl-invisalign,"stumbling to get my words right. It doesn't really bother me and my boyfriend thinks its cute so that's that lol :)
I've been reading on here that some people use Chewies more than others. When I first started out I",1.0000
sick,http://deepundergroundpoetry.com/poems/43824-goodbye-letter-to-addiction/,"longer.
I dont have to go on a mission,
for more shit to hock.
I dont have to be dope sick,
all the way to the block.
I know that you're mad now,
that I have tools in my box.
But",1.0000
lol,http://uroboros-art.deviantart.com/art/Defeated-05-389572099,"the last. Now where could Madam Nyx be, hehe...
Next thing you know Lambda Syndicate will go after the cops. lol. Nice job.
Nice! White Owls hair looks awesome!",1.0000
vibes,http://bigbudsmag.com/three-ways-you-grow-guerrilla-outdoor-marijuana-br-without-trashing-the-environment-getting-busted/,"and Canadian outdoor marijuana growers do those things too.
Harmful marijuana growers (be they Mexican or homegrown) are bringing bad vibes and increased police scrutiny onto legit, eco-respectful growers, and it’s leading to federal and/or state criminal investigations for violating the",1.0000
vibe,http://www.stylemepretty.com/massachusetts-weddings/2014/07/23/heartwarming-garden-wedding/,can I say about this wedding other than that it is utterly perfect? The kind of perfect where a laid-back vibe and all sorts of pretty join forces in a party that is all about celebrating one seriously awesome duo (the,1.0000
lol,http://www.wrestlingforum.com/mafia-archive/672497-chuck-mafia-game-play-thread-66.html,"to say well, idun want this to sound douchey or anything like that but, i kinda dont trust you bud lol.. Trying to be nice to me and all, sorry but im just playing the game lol.. your more suspicious to",1.0000
lol,http://www.wrestlingforum.com/mafia-archive/672497-chuck-mafia-game-play-thread-66.html,"dont trust you bud lol.. Trying to be nice to me and all, sorry but im just playing the game lol.. your more suspicious to me lol.
Observation- I don't like this post. First of all there's to many ""lol's"" It's",1.0000
basic,https://www.elance.com/j/can-you-remodel-rooms-how-toarticles-on-preparing-spaces-man-caves/33736732/,"for DIY guys. I'm not looking for man cave design (no womanly color chip selection!) – just manly man pre-cave basic work.
I'd like them written in an entertaining and conversational manner of someone who is sharing great tips and info",1.0000
lol,http://www.wovenbywords.com/2012/03/wordless-wednesday-handstand.html?showComment=1332895580270,"5 years ago.. told them now that I lost a good amount of weight, I was gonna show them again! lol
Very impressive! I'm not sure if I could still do that or not. I think I'll go with ""not"".... I'm",1.0000
lol,http://www.mmo-champion.com/threads/1256927-Garalon-10N?p=20027731&viewfull=1,"strictly nuke the body.
El oh el are you serious Bro ? Do you have an actual question or is ""LOL"" suppose to tell me everything ?
I'm not arguing the Moonkin is under perfoming. But I wouldd argue the whole",1.0000
lol,https://thekoolaidmom.wordpress.com/tag/j-k-rowling/,"am, in a relationship began online. Yeah… be careful what you say because you may end up eating your words… lol. BUT, it’s mostly good. Both of us have had some really bad luck in past relationships, so there’s a lot",1.0000
lol,https://thekoolaidmom.wordpress.com/tag/j-k-rowling/,"could go together to see the movie Twilight (I should review the movie, but I’ll have to watch it again… lol.. I was a bit, erm.. distracted the first time ;-) ). So when I finished Two Brothers, I picked up",1.0000
lol,https://thekoolaidmom.wordpress.com/tag/j-k-rowling/,"Problem is, he’s reading them by audio book, which is faster than I can read. I HAVE to beat him, lol, so I picked up the audio book to read along. Hehehehe…. So I’m in chapter 16 and he’s in chapter",1.0000
meh,http://www.lawschooldiscussion.org/index.php?action=profile;u=15419;area=showposts,"Meh, Those kind of wild generalizations is what's really wrong with America. Sadly, the majority of people will relate to you",1.0000
thirsty,http://www.thisis50.com/forum/topics/apparently-50-cent-previewed-5-records-off-5-murder-by-numbers?commentId=784568%3AComment%3A29959476,"them new cats playin with their vocals in a way gunit artist not.
o-o-o-o-o-o-ok Lambogini Mercy, your chick she so thirsty I-I-I-I-I'm in that 2 seat lambo while ur betch tryna jerk me.
All relevant artist are going this. Nicki, Usher,",1.0000
lol,http://www.clubwrx.net/forums/comparison-wrx-vs-world/145216-me-vs-02-04-jetta-1-8t.html,"gear Wow That sucked, he stayed right next to be untill the 18G caught it's breath then it was oVer! lol just thought i would share a fun night",1.0000
lol,http://www.pets.ca/forum/archive/index.php/t-15669.html,"little (or actually not so little) gentleman.
I would NEVER support a pet store again even by buying fish food, lol. The problem is that SO many people either have no clue or see that cute face and cannot help themselves.",1.0000
sick,http://www.a4c.com/product/12-pack-metal-stylus-pens-for-capacitive-touchscreens-rainbow-set.html,SO INFURIATING to be as incredibly stylish as you are in every aspect of your life outside of your outfit? Sick of those drab color options for phone accessories? Take a step towards that inevitable Vogue Magazine cover with the 12,1.0000
vibes,http://www.waswatching.com/archives/2005/09/september_28th.html,"after this weekend;) OK, that's a bit of a reach... This season is so bizarre- I got nothing but bad vibes yesterday after the blowout, despite our competition losing, and then we have a good night tonight. Now I'm getting no",1.0000
vibes,http://www.waswatching.com/archives/2005/09/september_28th.html,"yesterday after the blowout, despite our competition losing, and then we have a good night tonight. Now I'm getting no vibes at all. Hope Small comes up big, but I think our offense is going to have to run the table",1.0000
tea,http://abcnews.go.com/ThisWeek/Politics/transcript-axelrod/story?id=8846323,"does. I can't help but think a lot of this stuff is -- is exaggerated, in terms of calling it ""tea baggers"" and all that stuff.
Look, this country saw this summer an awakening, if you will, an August awakening, of",1.0000
lol,http://ateliergal.pixnet.net/blog/post/26215972,"Satsuma-flavored lipbalm... nonetheless, I got so excited that I headed straight to one of the outlets before having my lunch (lol)
Honestly, I almost left the store without getting it, because I could not smell anything from the tester! My friend",1.0000
hella,http://vickyloves.com/2012/05/25/get-it-right-get-it-right-get-it-white/,"close to that pocket lined Wang top. I’d even go braless. Just think of the ventilation! The Vince one is hella cute too.
Zara Jumper $79 / Topshop Cut out dress $66. I love rompers/jumpers/onesies. To cut your outfit planning time",1.0000
lol,http://vickyloves.com/2012/05/25/get-it-right-get-it-right-get-it-white/,"I’m goin to have to cut off a limb if needed to get to my goal weight in 5 weeks lol. Sigh, model diet starts …..NOW. Coffee, cigarettes, ocassional block of cheese and laxatives.
I’M KIDDING!! Happy Friday boo thang (heart,",1.0000
lol,http://gamingtrend.com/forums/off-topic/lost-103/msg27914/,it comes out. We all called it that her husband was going to be pissed she was showing some skin... :lol:,1.0000
stfu,http://www.trekbbs.com/threads/uefa-football-thread-football-not-soccer.50336/page-224,"side, at least whenever he plays against an English team or the national side in future, the commentators can now STFU about how he plays poorly against them.
Great performance, fantastic goals, and one absolute peach of opportunism. I can't even",1.0000
stfu,http://cafepharma.com/boards/threads/you-guys-blow.480375/,"fucking douche bags. You know who you are
Stop spreading what? Like a veneral disease?
You are a Venereal Disease. STFU about Durata
What goes around comes around dipshit! STJ reps have made a career talking bad about everyone else and",1.0000
lol,http://www.webdonuts.com/2013/03/overpaid/,"lol outsourcing at it’s best
Subcontracting is a good way to share the wealth
They need to nanny shop where their",1.0000
epic,http://www.glamour.com/entertainment/blogs/obsessed/2014/03/taylor-swift-karlie-kloss-road,"adorable, amazing friendship pics from Taylor Swift. (Gah, remember her shopping day with Lorde?!) This time she's embarked on an epic seaside road trip with Karlie Kloss. Their photos are perfection, so I'll just shut up and let you enjoy. Behold:",1.0000
lol,http://legacygt.com/forums/showpost.php?p=4102169&postcount=63,thanks lol! thats terrible! i feel like my impreza was a lemon two weeks after i got it i had to go,1.0000
epic,http://kuklaskorner.com/rbh/comments/hurricanes_bring_in_five_new_players,"video clip, also coincidentally against Carolina, is the reason that Leafs fans love Tim Brent. Three blocked shots during an epic 5-on-3 penalty kill. This is some seriously good stuff:
I think he’s going to be a great addition to the",1.0000
epic,http://www.punchdebtintheface.com/aloha-mahalo-haiku-racism/,"finance, I leave you all with three Ninja-style personal finance haiku’s.
Me happy ninja
Typing on my balcony
Love the epic view
Money Money Cash
Money Dollar Money Cash
Money Booya Cash
Do you save money?
It’s time you probably should",1.0000
fire,http://forum.jbonamassa.com/viewtopic.php?id=25673,"Topic: Joe was on fire in Roanoke!
Wow, what a show! Joe was on fire! The whole thing was just fantastic! The crowd was so",1.0000
fire,http://forum.jbonamassa.com/viewtopic.php?id=25673,"Topic: Joe was on fire in Roanoke!
Wow, what a show! Joe was on fire! The whole thing was just fantastic! The crowd was so well behaved, you could have heard a pin drop at",1.0000
vibe,http://grist.org/article/2009-09-25-climate-news-poem-tck-tck-tck-edition/,"love most
Who tizzied up the city with that version of the Post.
Now Climate Week is over, but its vibe we must remember
As we plod e’er onward toward That Meeting in December.
Donate now to support our work.",1.0000
lol,http://finance.yahoo.com/mbview/threadview/?bn=c26820b8-a4c1-33c2-aa86-8d6d57e14a79&tid=1375128284808-168cbd01-17b6-4e9d-846e-7d632507d822&tls=la%2Cd%2C12%2C3,"Then I glanced at the time & sales window at 4:00 and thought I was looking at the wrong stock. LOL
Look at the potential with this company:
About Array BioPharma Array BioPharma Inc. is a biopharmaceutical company focused on the",1.0000
rad,http://www.lightningoctopus.com/2012/07/6-geeky-things-to-do-this-weekend-in-arizona-we-0715/,"This weekend, Arizona stargazes, parties like a road warrior, watches some anime, and plays some super rad video games.
Hope everyone over at SDCC is having a blast. We’ll do our best to have fun here too.",1.0000
meh,http://www.comicbookresources.com/?page=article&id=26418,"""find out more in another four dollar comic, you sucker!"" Stop it. Just...stop it.
""Teen Titans"" #83 was actually a ""meh"" comic, but some kind of feverish flash came over the reviewer while working his way through the meaningless chatter here,",1.0000
meh,http://www.comicbookresources.com/?page=article&id=26418,"tell.
SO, HOW BAD WAS IT?
Eight were okay, six were really pretty bad...but wow, that's a whole mountain of ""meh,"" and there were still a number of books unread. Oy...the whole day was just illness-inducing in how it defied Reed",1.0000
lol,http://www.onthemat.com/forum/posts/where-f-kibun-marty-post,"am living on my custom long board surfing in Huntington Beach. When I am not doing that I am here.
LOL, where are those guys? Did you read the forum guidelines? LOL!
Those were some guild lines! its like the guy",1.0000
lol,http://www.onthemat.com/forum/posts/where-f-kibun-marty-post,"When I am not doing that I am here.
LOL, where are those guys? Did you read the forum guidelines? LOL!
Those were some guild lines! its like the guy who posted never read our forums?
Maybe that is why no",1.0000
lol,http://www.gardenersworld.com/forum/talkback/no-private-club/78204-11.html,"as i am sure the rest will agree.
As long as its not coffee Pennine lol
I dont like them lol
Coffee's good. I don't like that pink stuff that's supposed to be strawberry. Or those caramel take your filling out",1.0000
lol,http://www.trekbbs.com/threads/writing-challenge-spring-2014-strange-new-worlds.240802/,"A win by default is still a win, lol. Seriously though, there are many great writers here, it’d be a shame not to push them to try something new",1.0000
meh,http://www.musingsofamuse.com/2010/10/payless-beauty-and-cosmetic-collection-launches-with-zoe-zac-naturals-and-unforgettable-moments.html,decided to venture into Payless for a look and I took a few pictures for you however quality is kinda meh since I was doing it on the fly as SA’s don’t take too kindly to makeup junkies walking into their,1.0000
stfu,https://www.coachella.com/forum/showthread.php?44710-Lesson-Learned!,"To everyone who is bitching about GV forcing you to buy tickets. STFU
This year they announced the dates way back in August which gave you enough time to secure a place to",1.0000
lol,http://christytomlinson.typepad.com/christytomlinson/a-gilded-valentines-mini-workshop.html,"creative detail! And their final project.. oh my heck.. it just blows me away! I can't wait to make it!! lol
and of course.. the class wouldn't be complete without my little artsy spin on valentines.. So this class is going",1.0000
vibe,http://fabricatidiemstylish.blogspot.com/2011/03/dry-dry-heat.html,"is just cool. You'll look like a BAMF wearing it...and lets be honest, who doesn't want to send off that vibe every once and a while? Thats what I thought.
Forever 21 - Rainbow Knit Poncho
I know poncho's are oftentimes",1.0000
vibes,http://www.avclub.com/tvclub/saturday-night-live-classic-jack-burnssantana-12930,"Saturday Night!"" until a list of demands are met, followed by a surprisingly strong ""Coneheads"" skit that pushed the awkward vibes of families getting together for dinner to ridiculous extremes. The highlight of the bit found the entire Coneheads family panicking",1.0000
lol,http://supermommyornot.blogspot.com/2013/11/baby-4-24-weeks.html,"active as the others were which maybe means that he or she will be laid back and easy going, right? Lol
Food Cravings: Anything with pumpkin. I think that has to do with the season we're in :) I've also been",1.0000
meh,http://www.abovetopsecret.com/forum/thread840686/pg1,"of a lot more trendy) Personally, I would prefer a HBO ""game of thrones"" style series verses a movie, but meh, what
do I know...still trying to talk pros here
By having a expanding fan base, it will ensure future titles",1.0000
bro,http://www.newgrounds.com/portal/view/614850/review_sort/score,"vs Broker
WTF I Dont Get The End At All
scream is the visepresident inn costume!
hey scream you mad bro? kus he got mad when that guy just was talking inn da phone XD
Extremely well done.
But that watermark",1.0000
vibe,http://www.laweekly.com/music/the-flaming-lips-zaireeka-listening-party-the-echo-1-31-13-4166914,"that dude is just vibed the fuck out. If that dude was an ice cream flavor, he'd be Pralines and Vibe. If he were a president he'd be Viberaham Lincoln. NB: don't put this in the piece, it's not funny.""
Get",1.0000
tea,http://tvtropes.org/pmwiki/pmwiki.php/Main/AmbiguouslyBi,"tall enough to dance with her when she's in heels is that boy and the Captain of the girls basketball tea. Then she looks upset and says ""and she didn't ask me"".
- Buffy the Vampire Slayer:
- Faith routinely has",1.0000
vibe,http://tvtropes.org/pmwiki/pmwiki.php/Main/AmbiguouslyBi,"Cupid act like a couple on a date.
- Most male characters who aren't just Ambiguously Gay give off this vibe from time to time. Timmy's Dad, Adam West, Chester, AJ, Cosmo and even Timmy himself all have conspicuous Ho Yay",1.0000
lol,http://www.ign.com/boards/threads/ubisoft-removing-paper-game-manuals.191280060/page-4,"to mother Earth I think.
What is this? I don't even...
Why would you want to print out the manual? lol. Maybe other companies will follow along since manuals are pretty much a waste. I remember looking through them when I",1.0000
stfu,http://www.ign.com/boards/threads/ubisoft-removing-paper-game-manuals.191280060/page-4,"from the pause screen, we're in a little trouble...
WOW what a bunch of tree humping ******s
Will you please STFU w your idiotic statements! No one and I mean no one would prefer a download over a hard copy? This",1.0000
epic,http://muscle.iuhu.org/2014/02/machine-gun-kelly-wild-boy-official-ft-waka-flocka-flame/,"gym motivation while enjoying the rest of the day off after an intense workout which will give you the most epic of muscle soreness.
This music video made me want to get a tattoo or even more cause you know, muscles",1.0000
lol,http://missmediocre.com/?p=989,"of in some way. It’s so easy to be mean, of course it’s got to be hard to be nice, lol. Maybe some of you can help me come up with good ways to use a couple hundred gold every week",1.0000
epic,http://bsinthekitchen.com/tag/morning/,"grilled cheese, deciding, hmmm should I put a hashbrown in it, or would that be too much? After all these epic grilled cheeses, I was leaning towards excluding it, I mean how much can my body take!?! Of course I consulted",1.0000
epic,http://bsinthekitchen.com/tag/morning/,"in the near future!). But when they mentioned doing something Grey Cup inspired, I thought PERFECT I can make an epic grilled cheese inspired by one of the many game day appies people love! Well what goes hand in hand with",1.0000
lmao,http://www.popthatzits.com/2011/09/feta-cheese-nose/,"this at home, I know for a fact everyone has a sore nose already from the last pore cheese video, LMAO!! (My nose aches too, and there was no pay off. Even my fiance tried!!!) I really don’t want to get",1.0000
vibe,http://www.menshealth.com/sex-women/relationship-moments,"Big Screwups
You're driving home together after an evening of hanging out with friends, and she's giving off a distant vibe in the car. She's mad. Was it that you didn't include her in the conversations enough? Was it the topic",1.0000
