target,uri,target_context,roberta_score
lol,http://peytonelisabeth.blogspot.com/2007/10/pretty-pumpkin-painting-with-peytie.html,"didn't have her toungue sticking out in this pic.
She was doing it the whole time! She's definitely a Vrbas! LOL!",1.0000
lol,http://samiammylifeinnotes.blogspot.com/2010/10/over-moon-1st-ever-blog-award.html,So ladies share the love and have yourself a scrappen a day : D I know i will : D ....lol MWAH!,1.0000
lol,https://websta.me/p/239544566350601962_194908318,"this he will be waiting outside your teams bus before you know it.
Melo will be mad
Only joking that's lol
Why don't we talk more often
Somebody didn't get there sleep
Ahhh melo lol
Two knicks in that picture
Come",1.0000
lol,https://websta.me/p/239544566350601962_194908318,"will be mad
Only joking that's lol
Why don't we talk more often
Somebody didn't get there sleep
Ahhh melo lol
Two knicks in that picture
Come to the knicks we need u toget them boards
My name is Bernie
@brentlandorf",1.0000
fam,http://www.realitytea.com/tag/uncle-si/,"how they remain grounded, and what's behind their scripted shenanigans…all while cracking jokes of their own. I so love this fam!",1.0000
lol,http://dlwagner.blogspot.com/2012/05/theres-no-sense-like-nonsense.html?showComment=1337706679249,"the top five include: ""twilight humor"", ""cat taco costume"", ""bacon flavored ice cream"" and the direct URL to this blog. Lol, yep, the phrase ""cat taco costume"" has brought 168 people to this blog...
If you look at the sites that",1.0000
lol,http://dlwagner.blogspot.com/2012/05/theres-no-sense-like-nonsense.html?showComment=1337706679249,"image searches, since I use a bunch of them... and Lord knows, people don't come here for my dry wit, lol.
Video Challenge of the Week:
OK, this week's challenge is... see how many of David Caruso's corny one-liners from the",1.0000
fam,http://www.heatbootcamp.com/blog/2016/6/8/workout-of-the-week-you-say-tabata-i-say-3010,"Hey yo HEAT fam! It's Lil Sarah here with your HEAT W.O.W.! We are using a tabata format this week, 30 seconds of hard",1.0000
stfu,https://www.newgrounds.com/bbs/topic/1234078/5,"mindless sheep and still voted for scott pilgrim.
""We don't all march to the beat of just one drum SO STFU!""",1.0000
alpha,http://www.tellyupdates.com/kkb-moon-part-2/,"all an alpha can wish for is marry them and have some baby pups by now but no, not this Alpha, I actually went to all extreme lengths to make sure she never got pregnant, and I never really decided to",1.0000
lol,http://carolsrandomness.blogspot.com/2012/07/multiplicative-monday.html,". . . what else will I be up to this week, now that I have all this free time? LOL Well, I'd like to spend a little time outside reading, and I have another book coming to me for edits.",1.0000
lol,http://michelleavendano.com/neon-lights/,"have with Korea for now (other than the various interesting slash sometimes disturbing encounters I have with their men inflight, lol ?), unfortunately. Maybe next time, Seoul x",1.0000
lol,http://rebeccabuckley.blogspot.com/2012/05/so-much-going-on.html,"and ready to go. This is all the time. Crazy, huh? No it isn't the beginnings of a heart attack. lol lol It's how I feel most of the time, like something is driving me forward, continually.
And it isn't confined",1.0000
lol,http://rebeccabuckley.blogspot.com/2012/05/so-much-going-on.html,"ready to go. This is all the time. Crazy, huh? No it isn't the beginnings of a heart attack. lol lol It's how I feel most of the time, like something is driving me forward, continually.
And it isn't confined to",1.0000
vibes,https://paperchase.co.uk/the-journal/picnic-party-ideas/,"at home or have taken the festivities to the local park, some summery decs will really amp up the party vibes. From fabulous flamingos to tasty pineapples, we’ve got lots of tropical themes for you to choose from.
- FOOD –",1.0000
lol,http://bonnievanak.blogspot.com/2007/09/hump-day-hunk.html,"book due in 11 weeks, my second Nocturne. Yikes. I'd rather sit here and stare at Bale. Bale me out, lol.",1.0000
lol,http://smallfarmgirl.blogspot.com/2016/06/a-possible-return.html?showComment=1466857932467,"to work on them. I don't know, maybe this is what I needed. Just a little kick in the pant. lol
The garden has been cut back to half of it's size than what we usually have it. But, it's being",1.0000
fire,https://durteelawndree.wordpress.com/2013/07/24/creating-coco/,"flirt
Coco is bold
Coco is dangerous
Coco is tempting
Coco has no boundaries.
Coco is desired.
Coco is on fire.
Coco loves everything.
Coco keeps secrets.
Coco never lies.
Coco only trusts those who can be trusted.
Coco knows your",1.0000
vibe,https://www.urbandaddy.com/articles/20785/los-angeles/slaters-5050-even-odds-a-down-home-hall-of-donut-burgers,"something inappropriate about stuffing.
Wait, wrong meal. Fast-forward to the day after Thanksgiving, or any day after. There’s a familial vibe here at your table, sure—but instead of turkey, we’re talking burgers topped with peanut butter and jelly. Burgers whose patties",1.0000
lol,http://notimeforreallife.blogspot.com/2017/03/poetic-dancing.html,"have the same answers at the same time, that must mean something...I gotta research that.
Oh, can you rescue me? LOL",1.0000
hella,http://bunnyspopculture.blogspot.com/2010/03/george-and-reba-epic-tour.html,"shirts, but they didn't have a small size for niece, and I said no, thank you, because concert shirts are hella expensive.
Then I spotted the shirt I wanted so badly I would've mugged an old lady for it. All black,",1.0000
epic,http://bunnyspopculture.blogspot.com/2010/03/george-and-reba-epic-tour.html,"And on the drive home, we listened to ""I Cross My Heart"". So it helped me get over my bitterness.
EPIC concert. Just epic.",1.0000
epic,http://bunnyspopculture.blogspot.com/2010/03/george-and-reba-epic-tour.html,"drive home, we listened to ""I Cross My Heart"". So it helped me get over my bitterness.
EPIC concert. Just epic.",1.0000
shook,http://personalpresumptions.blogspot.com/2009/04/cinema-stubs.html?showComment=1243132346102,"by the collar and proudly declare that Indian cinema is experimental,bold,aggressive and dares to be different !!!and you are all shook by from the first to the last reel.
If you think remaking classics is foolish,then what do you call remaking",1.0000
yolo,https://hannahrosebaker.wordpress.com/2013/04/19/my-first-open-letter/,"been kept awake for something like two hours now by your noise. I know that having fun is important, and yolo and all that, but right now I can’t help but feel like my need to get up for work in",1.0000
yolo,https://hannahrosebaker.wordpress.com/2013/04/19/my-first-open-letter/,"it could go you might turn around and immediately bitch about the bitch upstairs who is trying to stifle your yolo status. I suppose if that is your attitude, I shouldn’t care.
Because I pay a lot of money for the",1.0000
lol,http://www.littlemrsmarried.com/2010/03/fill-in-blanks_19.html,"to ""uh oh. maybe i can't"" to ""wow, now i feel awkward"" to ""wait, what was i going to say??"" LOL. This is not to be confused with not knowing how to think before i speak, i normally do that in",1.0000
epic,http://hollywoodlife.com/tag/the-roots/,"awesome performance of “Santa Claus Is Coming To Town”!
Mariah teams up with Jimmy Fallon & The Roots for an epic acoustic performance. Watch!
Despite being a Mariah Carey track, “All I Want For Christmas Is You” is basically the Madonna",1.0000
meh,https://blog.wandr.me/2012/03/the-finer-side-of-ghent-beer-and-graffiti/,"about everywhere in the country. I’ve visited Bruges a couple times and found it reasonable enough, and Brussels is pretty meh as a place to actually be a tourist so I was looking for a different option. Ghent was it.
There",1.0000
lol,https://crazycupcakerunner.com/tag/50k/,"loop. I decided to get a little extra kick and drank a shot of Fireball. It sure did taste good! LOL!!! I’m not sure how much it helped, though, because I think it just made me sleepy for a bit. I’ll",1.0000
epic,https://crazycupcakerunner.com/tag/50k/,"strong throughout the race, stayed in the game mentally AND saved some energy for the next day’s race. It was EPIC! Any doubts that I had about transitioning to trails and ultras were completely erased. And, I have to be honest.",1.0000
lol,https://crazycupcakerunner.com/tag/50k/,"weekend and just ate what I wanted – I ended up with a headache but I ate what I wanted! LOL!! This has been a good reset period to get me ready to go for the remainder of the year, but",1.0000
lol,http://www.naioa.com/v2/modules.php?name=Forums&file=viewtopic&t=37887,"How much miles are on those seats? How much pounds of ass were applied to the seat during every trip? Lol
This thread is about *this* far from being about me, all oiled up, eating chili mac in a walmart bathroom.",1.0000
lol,http://dstvsapro.co.za/about-dstv-installers/,our staff had a Dstv Sa day then our Corporate Business Model becomes all the more easier to flawlessly execute! Lol … if only it was that easy but we promise to keep trying.,1.0000
vibes,https://www.movienewsguide.com/has-dj-zedd-been-crushing-on-selena-gomez-for-years/46574,"song- love it!
— Zedd (@Zedd) December 5, 2014
Well, it seems their times together not only made some good vibes forming between them, it also gave birth to a new song. On Saturday, Jan. 10, 2015, Gomez and Zedd hosted",1.0000
hella,http://juiceboxesandcrayolas.blogspot.com/2011_11_01_archive.html,"just need a mental health night after another long (but thankfully not rotten) day. Oh, and my IT band is HELLA TIGHT again--sweet. Sometimes I think skipping a run makes it tighter, but I'm hoping a night of foam rolling and",1.0000
hella,https://heauxsmag.com/new-blog/crime-con,"check her out because she has ONLINE CLASSES!! I know where my next mortgage payments going! Again - I have hella more details, but we don’t have time here so buy me drinks!
Nat and I decided to retire back to",1.0000
lol,https://riannagalvez.wordpress.com/2012/04/09/the-cheesecake-factory/,"since I’m the Queen of kaartehan I asked them to substitute it with broccoli instead – healthy is the way LOL!
The white sauce for the shrimp and the Madeira sauce are too divine! This plate would be nothing if it",1.0000
bro,http://kristengoetz.blogspot.com/2015/08/hold-on-to-me-tightly-im-sliding-scale.html,A walks up to her and is all “Yo baby can I get yo numbah?” and chick is all “No bro you used ‘yo’ instead of ‘your’ – and thus said ‘yo’ twice so let me say this twice so you,1.0000
lol,http://considermelovely.com/2012/04/spring-bloom.html,"the dryer and the hem of my blush skirt was coming undone, it called out to me, on Sunday morning! lol
I love how the sun is peeking over my head and face in these pictures! It makes me think of",1.0000
lol,http://considermelovely.com/2012/04/spring-bloom.html,"yesterday! I am going to miss having an in house (on weekends when school is out) photographer living with me, lol.
Is it just me or does this skirt scream Spring to you too? I don’t know much about gardening and",1.0000
lol,http://123nowwherewasi.blogspot.com/2011/10/inspiration.html,to trim them to get them squared up! Some day someone will finally tell me what I am doing wrong! LOL Go on with yoiur bad self and get those flying geese in a flock!! Cannot wait to see how these,1.0000
hella,http://itsonlyfashionblog.com/2012/09/06/dont-you-remember-you-told-me-you-loved-me-baby/,"Jeans: Sn@tch – Vintage Virgin – seriously I dunno if you can get these, I just love them they are hella old
Boots: GOS – Triumph boots in ARCHIE
Eyes: A:S:S – Vision – Enaid eyes in Alexandria and Pale Green",1.0000
lol,http://snappycrafts.blogspot.com/2013_07_01_archive.html,"can't do anything but. Lastminute.com as always with me I'm afraid.
You could say I preform better with a deadline, LOL. Needs must!
Anyway that is all from me today, I have a day off tomorrow and look at the weather",1.0000
lol,http://aidenshope.org/first-time/meeting-aiden/,"dad, and you and Lucas stay behind a pillar and start video taping as I bring Aiden around the corner!” lol, well things don’t work out the way you think sometimes…just like when we met Lucas for the first time! (check",1.0000
fire,http://maccentenoimages.blogspot.com/2011/07/bistro-miyake.html,"These shots are literally on fire! Packed with the legendary bacardi 151, these drinks will sure kick the hell out of you! You wanna get slammed",1.0000
lol,http://furyredsays.blogspot.com/2010/01/ugly-you-aint-got-no-alibi.html,"any humour of a dark nature definitely works). However, this legacy actually made me laugh out loud. It make me lol people, even lamayo (that's 'laughing my ass off' to meer mortals).
So yeah, by all means check it out here,",1.0000
lol,https://www.girlsaskguys.com/girlsaskguys/q2097288-do-you-consider-gag-like-yahoo-answers,"are they ever taken down. On this site, mods do a decent job of cleaning it up (totally no bias lol).
11.) MyTakes-- possibly the biggest difference between the two. YA offers no myTakes whatsoever. If anything, YA people just rant",1.0000
bae,http://thispepperlife.com/keeping-them-informed/,and meat on a Friday evening at a nice hotel behind. Always having in mind that to me food is bae and I treat it with the love and care it deserves. I really hope it’s my last stint though.,1.0000
fire,http://deathbyemu.blogspot.com/2008/04/i-have-night-off-but-someone-else-is.html,"warming...
Say Goodnight, Sally!
Rome is Burning
2-0 and on to Ottawa! (baby!)
Game Two Tonight! Do it Again!
Gimme Fire Fire
Burying the Game 82 Hatchet..and moving on.
GAME DAY 82- Go Pens!
Pens Waiting for Philly..day three.
Anxiously Waiting",1.0000
stan,https://blackdadchroniclesdotcom.wordpress.com/2016/08/26/changing-tastes/?iframe=true&theme_preview=true,"and nobody could tell me different. Lil Wayne? Nope. Fabolous? Nope. Jada? Nada. I dont wanna say I was a stan, but it was pretty close. The entire deployment in 2004, I wore a book bag and had my polo collar",1.0000
vibe,http://mjfifield.blogspot.com/2010/05/homeward-bound.html,"a hawk. I hope I am giving off a ""if you wake her up, there will be hell to pay"" vibe. They see me watching them like a hawk and they all tell me how good she is and go on",1.0000
epic,http://www.indiewire.com/2012/06/lauryn-hills-thesis-on-where-art-corporate-interests-meet-recalls-dave-chappelles-escape-144945/,"this news being made public, Ms Hill took to the web to respond, creating a Tumblr account, and penning this epic piece on how the unsavory business side of “Show-business” prompted her to be free of it entirely, and live “underground”",1.0000
meh,https://mygeekblasphemy.com/tag/fight-scene-made-of-win/,"went ahead and watched a different superhero movie, one that we never quite got around to seeing: Doctor Strange. Ultimately? Meh.
Maybe a couple of months ago, Mekaela told me about a Korean zombie movie she wanted to check out sometime:",1.0000
yolo,https://californiaendlesssummer.com/2017/03/03/life-of-late-3-3-17/,are behind us. I actually happen to be down south gallivanting through Nashville with a couple of my girlfriends because YOLO! So a very happy Friday and weekend to all! There will be plenty of good food and good music over,1.0000
lol,http://forum.antscanada.com/viewtopic.php?f=29&t=2485&p=15801&sid=50bd995bd44ab20e575ec73b784631ac,"they fly, and do research when the gan farmers out up what they have instead of trying to take shortcuts lol
Users browsing this forum: No registered users and 1 guest",1.0000
lol,https://www.newgrounds.com/portal/view/157006/review_page/8?id=157006&footer_feature=movies,was like this is gonna be good and then it was just chit chit chit chat chat chat and laughing lol proper boreing.. i nearly feel asleep NO REALLY I NEARLY DID not because i been popping pills but because it,1.0000
lol,https://www.newgrounds.com/portal/view/157006/review_page/8?id=157006&footer_feature=movies,"been popping pills but because it was so boreing i closed my eyes and nearly went off on a voyage lol..
Work on the story :)
I rate it 5 on the artwork alone.
Great character design
Adam West ?
Interesting.",1.0000
bro,http://tynan.com/oregon,"all day long.
But going out climbing and experiencing and embracing life is one hell of a attitude to have bro.
Keep up the good work.
Yes, I like the post. However, I still dislike the giant 'subscribe' ad at the",1.0000
lol,http://tynan.com/oregon,"Now you know why I didnt mind staying there for a few months. Now lets see that updated gear list!!!!
Lol! Double entendre from a great pick-up artist.
However, I picked up a book called, ""Everything I Want to Do Is",1.0000
lol,http://www.kellysuperficial.com/tag/50/,"So, hey everyone…
I’m several months into the big 5-0 and I have to say it blows! lol #notkidding #sucksballs
One of the super-fun things about 50 is the utter shutdown of my metabolism. I mean, I’ve heard",1.0000
lol,http://westfetch.com/tampa-pet-sitter-news/the-pet-sitting-listing-sites-know-who-youre-using/,"the same day. As the firestorm grew, she boasted about her posted picture “no I did not lose my job. Lol. Psshh. Like someone would get rid of me. I’m awesome!”. Thankfully, she was subsequently fired and will likely have a",1.0000
lol,http://uttercraps.blogspot.com/2012/05/sketching-mental-picture-of-future.html,"back here though.spilling everything out into words without trying not to offend anyone 'cause that's what I always do here lol. If you asked what's been going with my life now, I dare say that there's nothing good going on with",1.0000
epic,http://wwwbillblog.blogspot.com/2008/08/progression.html,"where this is leading... although, I could be wrong.Dude, where did you get that sexy Edward Scissorhands screen cap from??? EPIC!!
Post a Comment",1.0000
lol,http://mauricerunea.blogspot.com/2008/08/baron-celebrity.html,"to?
Baron - (barely keeping his composure from gigling so hard) I'm attarcted to guys named ""Joa"" and ""Joaquim""...This Season, lol.
Maurice - Whats Baron's pet peeves?
Baron- I hate people being late, unprepared, and texting... I can't stand text messaging,",1.0000
epic,http://spacebarspeeds.com/my-inspiration/the-best-job-in-the-world/,"TV advert is good enough to result in my free-flowing tears. Granted, my mum has just gone home after an epic Oz visit, but this beautiful advert needs to be given the credit it deserves.
From start to finish, it is",1.0000
meh,http://www.macaronsandmischief.com/2017/04/30/burts-bees-lipsticks-crimson-coast-wine-wave-doused-rose-orchid-ocean/,"try this one out, but I don’t think I’ll be wearing this shade much. Even my face is a bit meh. 🙁
These lipsticks are PIGMENTED! My lips stand out more than a stop sign. I like both Wine Wave and",1.0000
lol,http://jlritt.com/2017/06/21/2012/,"all know, being efficient is key when working with newborns in a hot studio and you’re sweating your butt off. lol. We started with a different posing flow than what I have been accustomed to, but it includes some genius posing",1.0000
lol,http://www.gamesonly.org/threads/built-the-wii.201/,"yer it was dolphin, i'm glad they changed it to gamecube, it would have been wierd calling a console ""dolphin"" lol.
that will explain why the PC Gamecube emulator is called Dolphin
Lool, I was about to say that.
Not that",1.0000
lol,https://thewritesideoflife.wordpress.com/2015/09/09/nine/,"prior posts, this home renovation stuff just never ends. Hopefully by our 10th anniversary we will have it wrapped up lol.",1.0000
bro,http://garymfnoak.blogspot.com/2010/09/my-first-cave.html,"I wish I could get into Pokemon :P
followin 'n' supportin 'n' fappin bro :)wtfiniggagun.blogspot.comcheck also this to find new interesting blogs to luv dailythefuckinlist.blogspot.com
never seen pokemon so ive no idea whats that",1.0000
lol,http://melaniemuenchinger.blogspot.com/2008/06/friendship-beach.html,"passersby, ""hey! come vote for ours!!!"" it was fun, though! I'll have to dig out those pics from the archives LOL!",1.0000
lol,http://wheeliegoodmeals.co.uk/tag/pesto/,"right tomorrow night is Semi Final night, which means that we’re on the verge of the final… duh! I’m quick lol! You can make this as a snack to eat while the show is on, or make it tomorrow and eat",1.0000
vibes,https://www.necn.com/news/health/Parents-of-NBC-News-Freelancer-With-Ebola-Hes-Out-of-the-Woods-279375692.html,"go on Twitter and say he's ""on the road to good health.""
He also thanked everyone for all their ""good vibes.""
Mukpo was diagnosed with Ebola while working as a camera operator in Liberia while he was there to document the",1.0000
lol,http://suetheiron.blogspot.com/2012/08/by-power-of-grayscull-well-blogger.html,Yep this is definitely a He-Man moment lol. Well I may not be here but my card is. The challenge at Stampotique this week is to use Eggplant,1.0000
lmao,http://www.realitytea.com/2013/05/01/real-housewives-of-new-jerseys-teresa-giudice-checks-in-on-daughter-gias-twitter/,"""Omg.. My mom played softball. #lmfao @Teresa_Giudice"" Cute, right? Not to Tre, who quickly responded, ""@TrueGia don't say ""f""! It's lmao for you. Wait don't say ""a"" either. How about lmbo?""
CLICK THE CONTINUE READING BUTTON FOR THE REST
You can",1.0000
rad,http://www.somethingawful.com/garbage-day/femme-pop-mixtape/1/,"about, first on my own blog, and later, tidied up and made attractive for American consumption, for New York's totally rad Bust magazine. I'm just stoked that there are so many fucking sweet bands around, you dig? It feels sweet and",1.0000
vibes,https://www.selectspecs.com/fashion-lifestyle/alexander-mcqueen-2017/,"roll edge to it.
Perfect mix of femininity and grunge we’d say.
This look is giving us all the medieval vibes right now.
Traveling back to the Middle Ages, this ensemble contains massive puffed sleeves, a low scooped neckline, an ankle",1.0000
lol,https://aliekat.wordpress.com/2012/05/18/wtf-2/,"buster. I happen to be on youtube, and thought I’d watch the new trailer for the Hobbit. It was good lol, and I can’t wait to see it.
I started reading some of the posts, and was quite shocked at one",1.0000
vibe,http://foreveryoungadult.com/2017/10/10/ya-onscreen-we-finally-have-the-runaways-trailer-and-its-good/,"more grown up and CREEPY AF. Plus J.J. Abrams is attached? I'm down. Can we also discuss Bill Skarsgård's scary-hot vibe? His murder eyes are on point, but I still can't help thinking I wouldn't kick him out of bed because",1.0000
meh,https://eplaya.burningman.org/viewtopic.php?p=950609,"GODDAMNED LIVES all the cathartic, transformational things that you are selling to these bastards is never, ever going to happen.
Meh, don't prattle on about your trials and tribulations at Burning Man like you've really suffered in your life. What I'd",1.0000
glazing,https://fluffysciences.wordpress.com/2014/07/02/how-to-teach-me-statistics/,and deeply confuse me. I have a lot of good friends who try to teach me and I end up glazing over. What I mean to say is that the following is not personal – and it’s as much a criticism,1.0000
lol,https://www.gsmarena.com/newscomm-2498.php,"Lol, funny to read in 2015, they didint expect what Nokia will dissappear and blackberry will cover some small niche market",1.0000
hella,http://absosweetmarie.blogspot.com/2011/05/i-just-cant-get-enough.html,"Monte Cristo.
Bought a picnic basket at the thrift store for $4.00
(pics will be shown soon)
Laughed and said hella way to much.
Saturday spent the day doing a little creating and a whole lot of nothing. Hehe! Aren't those",1.0000
lol,http://bastardoldholborn.blogspot.com/2009/08/dangers-of-facebook.html,"stupid bitch.
That's a but harsh Gigits. It's easy to mess up grammar!:o)
Can nobody get their spilling right here?
LOL Rab! I am a cnut!
I just loved his response. Brilliant! Oh and she is a stupid bitch... a dumbass",1.0000
lol,http://www.niftyknits.co.uk/2009/08/you-know-youve-spent-too-long-on.html,"Has your virtual life intruded on your dreams like this?
Or maybe you've had embarrassing moments like when I said ""LOL"" in an office conversation - none of them had a clue what I meant.
The good news is - we",1.0000
lol,http://www.imgrum.org/user/thepetvarietyplatter/1938580844,"massive dump he took in my car
Birds are much cuter when they aren't screaming at you. Or eating you
lol if u thought I was gonna eat this
big boy ❤️❤️ Addix will be 9 years old next month!
nothin",1.0000
lol,http://bitsofcheer.blogspot.com/2012_12_01_archive.html,"and make a gift tag for next year! That's definitely the earliest I've ever started getting ready for next Christmas, lol. Maybe I can keep it up!
Thursday, December 27, 2012
Here's another card using the die cuts in my stash",1.0000
lol,https://throughhereyes.blog/2017/07/24/top-10-favorite-tv-series/,"decisions make an impact on his children’s life. I will let you know that this show is no family show. lol With sex, drugs, alcohol, and crime. I will give the show some props for taking addiction and mental illness to",1.0000
lol,https://familyofgrahams.wordpress.com/2012/07/,"and finally at almost noon make it to my espresso machine. Mean while the girls want to be fed AGAIN, (lol) because I mean who eats that often?? “You had breakfast, you mean you want lunch too?” 😉 Finally I get",1.0000
rad,https://www.bustle.com/p/heres-how-to-do-a-rounded-cat-eye-so-you-can-curve-all-the-haters-2301288,"I rocked this look a couple weeks ago, I certainly garnered more compliments than I usually do, which was pretty rad. Don't forget queens, you don't need to be razor sharp to slay.",1.0000
slay,https://www.bustle.com/p/heres-how-to-do-a-rounded-cat-eye-so-you-can-curve-all-the-haters-2301288,"compliments than I usually do, which was pretty rad. Don't forget queens, you don't need to be razor sharp to slay.",1.0000
epic,https://www.purpletrail.com/partytrail/15th-birthday-party-ideas/,"on your 15th birthday, invite a group of friends over for a 15th birthday slumber party. Build one of these epic blanket forts from BuzzFeed.com. Then enjoy birthday cake and snacks while watching your favorite movies shrouded in the warmth of",1.0000
epic,https://www.purpletrail.com/partytrail/15th-birthday-party-ideas/,"Hiking, Picnic
Plan an outdoor adventure for your 15th birthday with a group of friends. Pack a picnic, plan an epic hike, and celebrate your 15th birthday while conquering a challenging trek with good friends. As the end of your hike",1.0000
lol,https://www.gsmarena.com/samsung_i8910_omnia_hd-reviews-2691p477.php,wont research what people want in a product and all they know is to copy other companies like HTC HD lol. As for apples they are getting rotten if they had the next I phone they should have released it by,1.0000
lol,https://dealingwithcopd.wordpress.com/2012/07/15/how-i-feel-today-71512/,"It is almost 8am and I just got out of bed, so it’s a great day. LOL LOL. The reality is that I spent a lot of time coughing during the day yesterday, and the couple times",1.0000
lol,https://dealingwithcopd.wordpress.com/2012/07/15/how-i-feel-today-71512/,"It is almost 8am and I just got out of bed, so it’s a great day. LOL LOL. The reality is that I spent a lot of time coughing during the day yesterday, and the couple times I",1.0000
lol,https://maureenj.wordpress.com/2008/08/24/his-opportunities-for-meeting-someone-are-limited-down-there/,"drama. All he really wanted was reassurance and that seems to be part of my job description as big sister, lol. After placating him, we had a long conversation about his intention to shift back to Melbourne. I can’t say that",1.0000
epic,http://runeatrepeat.com/2016/12/30/runner-nuts-is-this-a-food-or-what/,"of Vegas barfing on the bed while I was gone. What a jerk.
In food news… I made a massive epic ridiculous salad for a late lunch.
And then I went to the grocery store where I perused the nut butter",1.0000
lol,http://diaryofabrokeasswoman.blogspot.com/2011/11/sometimes.html,usually do on my birthday I guess. So why not have a nice stiff one to play with that day? LOL. Ooh I am just awful aren't I? But why front? Females (and males) know they don't mind a little birthday,1.0000
sick,https://tjdoesstuff.wordpress.com/2013/06/03/my-review-of-random-access-memories-that-no-one-asked-for/,"I listened to Random Access Memories this weekend. It was sick, it was sly, it was other s-words that mean awesome. For some reason “S” is the right sound? I dunno.",1.0000
thirsty,https://thesoloistbro.wordpress.com/2016/02/17/770/,"leave the house to get attention. These women can get a quick “ego fix” by posting a picture and have thirsty
men white-knights gushing over them. About more then a year ago there was a fierce debate on Sosuave about the",1.0000
lol,https://mommafindingbalance.com/2014/06/11/day-12/,"computer… I just couldn’t help but share how “not amused” Fenway was that I was snuggling that close to him, lol.",1.0000
lmao,https://mubi.com/films/trash-humpers/ratings,"and hilarious at times. if that's what it was going for it succeeded. it also reminds me of my hometown lmao.
great in concept, difficult to enjoy the whole way through
For those who at least felt tender contempt for the",1.0000
methinks,http://musicissilent.blogspot.com/2012/10/,"doors, but I'm not ready for people to all fight to open the door for me. Not yet, not never, methinks.
Ready to live with being me. Not quite ready to live with others treating me how they expect to treat",1.0000
tea,http://kittkaboodle.blogspot.com/2014/09/revelry-tpc-7th-anniversary.html,"Today's post is all about the Tea Party club 7th anniversary - Revelry!
So this Saturday just gone was Revelry! For those that don't know this was",1.0000
lol,http://allhiphop.com/2009/11/30/hip-hop-rumors-trey-songz-joe-fight-tahiry-trey-songz-why-tiger-got-his-head-bust/,"scorn and all that, but the average person is acting
like they are Rick Ross. I can see Ross celebrating! LOL! Anyway, I’m
actually interested in seeing how 50 Cent responds to this. This is
really is first slump since he",1.0000
meh,https://m.charlestoncitypaper.com/charleston/w-h-a-l-e-is-a-frustrating-exploration-of-life-and-love/Content?oid=8937243,"It's the same sort of thing except at the end everyone's naked, singing, switching their clothes around. Woo hoo, right? Meh. It's kind of boring.
That's the thing about W H A L E — it's kind of boring. I could",1.0000
lol,http://gkccouture.com/life-in-the-keys/,"the sand, pool, beach, hammocks and even on the trees. Yes we are very serious when it comes to photoshoots lol.
The best moments of my trip was when I got to spent it with my friends and family. We had",1.0000
alpha,http://arghink.com/author/jenny/,"go-ahead, you’re a Dickhead.
And now I’ve written myself into a situation where I have to write
a Dickhead an Alpha hero. Continue reading",1.0000
lol,https://myblackneo.wordpress.com/2016/01/24/2016/,"i’ll consider getting a new one. Well, i wanna see if i can achieve this goal or not. Ohh perfumes. Lol~
- I want to save money. Full stop.
- I want to save more money. Haha
- I’ll be careful",1.0000
